Graph,V(G),E(G),D(%),Fitness,MIN,STD,Time(s)
bcspwr01,39,46,6.21%,23,23,0.00,0.011
can___62,62,78,4.12%,36,36,0.55,0.018
bcspwr02,49,59,5.02%,29,29,0.96,0.017
dwt_1242,1242,4592,0.60%,420,395,8.82,19.259
young1c,841,1624,0.46%,421,407,4.37,6.650
can___61,61,248,13.55%,24,24,1.09,0.018
dwt__492,492,1332,1.10%,194,185,4.53,1.875
bcspwr03,118,179,2.59%,67,65,0.98,0.087
can__838,838,4586,1.31%,451,441,5.61,6.558
bcsstk20,485,1325,1.13%,189,186,2.20,1.421
bcsstk09,1083,8677,1.48%,328,291,16.27,15.886
bcsstm27,1224,27451,3.67%,71,52,9.42,9.508
bcspwr04,274,669,1.79%,141,137,2.85,0.553
can___73,73,152,5.78%,39,39,1.03,0.027
dwt__245,245,608,2.03%,121,117,2.23,0.391
jagmesh2,1009,2928,0.58%,395,383,7.07,11.007
494_bus,494,586,0.48%,307,303,2.99,2.011
can_1054,1054,5571,1.00%,522,504,9.85,12.567
dwt__419,419,1572,1.80%,151,144,2.55,1.212
dwt__592,592,2256,1.29%,166,147,10.58,2.650
jagmesh3,1089,3136,0.53%,426,411,7.33,12.629
eris1176,1176,8688,1.26%,576,573,2.55,19.196
jagmesh1,936,2664,0.61%,366,356,7.14,7.673
dwt__209,209,767,3.53%,76,72,2.37,0.264
dwt__234,234,300,1.10%,134,127,4.26,0.382
can__268,268,1407,3.93%,129,122,4.58,0.482
bfw398b,398,1256,1.59%,187,184,2.26,1.013
dwt___72,72,75,2.93%,46,45,0.61,0.026
dwt___66,66,127,5.92%,28,26,0.92,0.022
jagmesh5,1180,3285,0.47%,468,445,8.21,15.871
can__292,292,1124,2.65%,108,100,5.32,0.508
ash85,85,219,6.13%,35,34,0.89,0.043
jagmesh7,1138,3156,0.49%,450,439,6.03,14.258
dwt___59,59,104,6.08%,29,29,0.59,0.017
dwt__346,346,1440,2.41%,156,150,2.78,0.799
jagmesh6,1377,3808,0.40%,546,534,6.89,23.978
dwt__607,607,2262,1.23%,194,185,5.75,2.768
nos1,237,390,1.39%,135,134,1.48,0.287
dwt__758,758,2618,0.91%,234,226,6.19,4.718
jagmesh8,1141,3162,0.49%,452,437,8.34,18.083
dwt__162,162,510,3.91%,53,52,1.40,0.156
dwt__361,361,1296,1.99%,114,106,3.63,0.801
will199,199,660,3.35%,96,91,2.94,0.230
nos2,957,1590,0.35%,553,546,2.82,8.581
jagmesh9,1349,3876,0.43%,531,501,10.60,21.045
can__715,715,2975,1.17%,207,203,2.43,3.429
bfw62b,62,140,7.40%,33,33,0.25,0.020
dwt__198,198,597,3.06%,60,56,2.88,0.220
662_bus,662,906,0.41%,384,378,4.20,4.189
can_1072,1072,5686,0.99%,533,509,9.96,13.885
nos7,729,1944,0.73%,329,319,5.28,5.364
lshp1270,1270,3699,0.46%,499,484,7.51,18.434
nos5,468,2352,2.15%,207,199,5.14,1.379
ash292,292,958,2.25%,109,106,2.53,0.603
can___24,24,68,24.64%,8,8,0.00,0.004
dwt___87,87,227,6.07%,39,38,0.79,0.045
nos4,100,247,4.99%,50,49,0.64,0.049
gr_30_30,900,3422,0.85%,269,246,10.16,6.547
bcsstk06,420,3720,4.23%,116,112,3.77,1.255
1138_bus,1138,1458,0.23%,700,688,5.52,21.844
can__229,229,774,2.96%,79,75,2.88,0.327
sherman1,1000,1375,0.28%,661,657,3.38,10.583
bcsstk10,1086,10492,1.78%,136,115,12.24,11.788
bcsstk04,132,1758,20.33%,58,58,0.00,0.063
can__161,161,608,4.72%,42,41,3.50,0.151
dwt__869,869,3208,0.85%,265,249,8.13,7.339
bcsstk05,153,1135,9.76%,38,38,0.25,0.118
can___96,96,336,7.37%,26,26,0.92,0.035
bcsstm07,420,3416,3.88%,134,132,2.24,0.997
lund_b,147,1147,10.69%,26,26,1.35,0.102
lshp_577,577,1656,1.00%,226,214,6.00,2.338
dwt__878,878,3285,0.85%,268,255,7.44,6.213
dwt__503,503,2762,2.19%,142,130,6.77,1.852
lund_a,147,1151,10.73%,26,26,1.07,0.092
dwt__310,310,1069,2.23%,99,92,3.90,0.562
