Graph,V(G),E(G),D(%),Fitness,MIN,STD,Time(s)
bcspwr01,39,46,6.21%,24,23,0.37,0.055
can___62,62,78,4.12%,36,36,0.57,0.153
bcspwr02,49,59,5.02%,28,28,0.00,0.080
dwt_1242,1242,4592,0.60%,473,447,10.67,279.068
young1c,841,1624,0.46%,435,427,3.15,46.811
can___61,61,248,13.55%,19,19,0.65,0.131
dwt__492,492,1332,1.10%,189,183,4.04,27.428
bcspwr03,118,179,2.59%,64,63,1.43,0.566
can__838,838,4586,1.31%,328,318,6.00,133.403
bcsstk20,485,1325,1.13%,187,184,2.71,24.546
bcsstk09,1083,8677,1.48%,441,415,15.34,183.512
bcsstm27,1224,27451,3.67%,63,58,2.36,92.371
bcspwr04,274,669,1.79%,133,131,1.72,4.010
can___73,73,152,5.78%,35,35,0.86,0.197
dwt__245,245,608,2.03%,118,116,1.63,3.291
jagmesh2,1009,2928,0.58%,435,413,8.38,71.777
494_bus,494,586,0.48%,298,295,1.63,20.028
can_1054,1054,5571,1.00%,401,387,7.61,166.042
dwt__419,419,1572,1.80%,150,144,3.70,9.510
dwt__592,592,2256,1.29%,150,138,8.92,22.226
jagmesh3,1089,3136,0.53%,476,465,6.21,125.039
eris1176,1176,8688,1.26%,506,503,2.27,206.794
jagmesh1,936,2664,0.61%,400,390,4.75,58.398
dwt__209,209,767,3.53%,75,70,2.65,2.165
dwt__234,234,300,1.10%,125,124,1.01,2.799
can__268,268,1407,3.93%,89,85,2.07,5.672
bfw398b,398,1256,1.59%,188,182,2.84,17.764
dwt___72,72,75,2.93%,47,45,0.93,0.212
dwt___66,66,127,5.92%,28,26,1.52,0.167
jagmesh5,1180,3285,0.47%,536,524,6.83,137.536
can__292,292,1124,2.65%,106,102,1.40,6.942
ash85,85,219,6.13%,35,33,1.00,0.294
jagmesh7,1138,3156,0.49%,517,496,8.40,90.344
dwt___59,59,104,6.08%,29,29,0.72,0.153
dwt__346,346,1440,2.41%,153,146,4.19,15.400
jagmesh6,1377,3808,0.40%,650,636,6.60,303.952
dwt__607,607,2262,1.23%,186,174,5.28,23.813
nos1,237,390,1.39%,133,132,0.92,3.281
dwt__758,758,2618,0.91%,226,208,7.95,37.120
jagmesh8,1141,3162,0.49%,518,507,6.34,91.701
dwt__162,162,510,3.91%,54,52,1.96,1.349
dwt__361,361,1296,1.99%,113,108,2.80,10.611
will199,199,660,3.35%,87,81,3.59,2.151
nos2,957,1590,0.35%,553,550,1.66,60.347
jagmesh9,1349,3876,0.43%,618,600,5.85,330.484
can__715,715,2975,1.17%,200,197,2.21,57.601
bfw62b,62,140,7.40%,32,31,0.91,0.145
dwt__198,198,597,3.06%,57,56,1.89,2.004
662_bus,662,906,0.41%,374,370,2.46,53.725
can_1072,1072,5686,0.99%,404,395,6.00,177.800
nos7,729,1944,0.73%,344,335,5.15,35.780
lshp1270,1270,3699,0.46%,576,564,5.90,233.234
nos5,468,2352,2.15%,202,194,5.49,15.271
ash292,292,958,2.25%,105,100,3.20,8.418
can___24,24,68,24.64%,8,8,0.00,0.023
dwt___87,87,227,6.07%,37,35,1.82,0.304
nos4,100,247,4.99%,44,42,1.50,0.535
gr_30_30,900,3422,0.85%,258,226,16.06,92.140
bcsstk06,420,3720,4.23%,128,116,5.62,25.535
1138_bus,1138,1458,0.23%,696,689,3.48,107.107
can__229,229,774,2.96%,76,74,2.27,2.469
sherman1,1000,1375,0.28%,665,656,4.10,128.625
bcsstk10,1086,10492,1.78%,116,110,3.22,99.948
bcsstk04,132,1758,20.33%,42,40,4.39,0.717
can__161,161,608,4.72%,43,41,4.58,1.006
dwt__869,869,3208,0.85%,265,249,8.45,51.124
bcsstk05,153,1135,9.76%,39,38,1.72,1.658
can___96,96,336,7.37%,26,26,0.00,0.322
bcsstm07,420,3416,3.88%,134,125,5.36,18.094
lund_b,147,1147,10.69%,28,26,2.38,1.039
lshp_577,577,1656,1.00%,225,218,4.87,21.808
dwt__878,878,3285,0.85%,257,224,12.83,52.505
dwt__503,503,2762,2.19%,129,121,4.38,15.292
lund_a,147,1151,10.73%,29,26,2.97,1.260
dwt__310,310,1069,2.23%,98,92,3.48,9.227
