Graph,V(G),E(G),D(%),Fitness,Time(s),Optimal
bcsstm20,485,0,0.00%,485,0.000,1
bcspwr01,39,46,6.21%,23,0.000,1
lshp1009,1009,2928,0.58%,337,900.000,0
bcsstk26,1922,14207,0.77%,459,900.000,0
can___62,62,78,4.12%,36,0.000,1
bcsstk27,1224,27451,3.67%,52,0.000,1
lshp3025,3025,8904,0.19%,1015,900.000,0
bcsstm21,3600,0,0.00%,3600,0.000,1
odep400b,400,0,0.00%,400,0.000,1
bcspwr02,49,59,5.02%,28,0.000,1
dwt_1242,1242,4592,0.60%,355,900.000,0
lshp_778,778,2247,0.74%,260,900.000,0
young1c,841,1624,0.46%,358,609.000,1
bcsstk19,817,3018,0.91%,290,900.000,0
can___61,61,248,13.55%,19,0.000,1
bcsstk24,3562,78174,1.23%,512,900.000,0
dwt__492,492,1332,1.10%,178,8.000,1
plskz362,362,880,1.35%,140,900.000,0
bcspwr03,118,179,2.59%,63,0.000,1
bcsstm22,138,0,0.00%,138,0.000,1
bcsstm26,1922,0,0.00%,1922,0.000,1
bcspwr07,1612,2106,0.16%,892,9.000,1
bfw782b,782,2600,0.85%,343,900.000,0
bcsstk08,1074,5943,1.03%,358,900.000,0
can__838,838,4586,1.31%,307,900.000,0
bcsstk20,485,1325,1.13%,182,0.000,1
can__144,144,576,5.59%,40,0.000,1
bcsstk21,3600,11500,0.18%,1582,900.000,0
can__187,187,652,3.75%,49,18.000,1
bcsstk09,1083,8677,1.48%,309,900.000,0
bcspwr06,1454,1923,0.18%,802,7.000,1
bcsstm27,1224,27451,3.67%,52,0.000,1
bcsstm19,817,0,0.00%,817,0.000,1
bcspwr10,5300,8271,0.06%,2732,900.000,0
bcspwr04,274,669,1.79%,131,5.000,1
bcsstk23,3134,21022,0.43%,1507,900.000,0
can__634,634,3297,1.64%,170,900.000,0
can___73,73,152,5.78%,35,0.000,1
bcsstk22,138,279,2.95%,67,0.000,1
dwt__245,245,608,2.03%,113,26.000,1
bcspwr05,443,590,0.60%,252,1.000,1
bcsstm24,3562,0,0.00%,3562,0.000,1
jagmesh2,1009,2928,0.58%,337,900.000,0
can__256,256,1330,4.07%,79,124.000,1
494_bus,494,586,0.48%,293,0.000,1
can_1054,1054,5571,1.00%,364,900.000,0
lshp2614,2614,7683,0.22%,894,900.000,0
