Graph,V(G),E(G),D(%),Fitness,MIN,STD,Time(s)
mulsol.i.2,173,3885,26.11%,4,4,0.00,1.340
hamming8-2,256,31616,96.86%,10,10,0.00,3.816
myciel7,191,2360,13.01%,18,18,1.17,1.127
myciel6,95,755,16.91%,16,15,1.61,0.382
school1,385,19095,25.83%,101,101,0.31,14.900
p_hat300-2,300,21928,48.89%,72,72,0.00,4.422
school1_nsh,352,14612,23.65%,116,111,2.60,12.661
le450_5d,450,9757,9.66%,294,273,9.61,13.117
mulsol.i.1,138,3925,41.52%,4,4,0.00,0.898
homer,556,1628,1.06%,270,270,1.12,27.957
gen200_p0.9_44,200,17910,90.00%,11,11,0.00,2.513
le450_5a,450,5714,5.66%,251,234,8.02,18.893
mulsol.i.4,175,3946,25.92%,4,4,0.00,1.287
DSJC125.1,125,736,9.50%,57,52,2.91,0.968
gen200_p0.9_55,200,17910,90.00%,11,11,0.00,2.438
mulsol.i.5,176,3973,25.80%,4,4,0.00,1.194
queen8_8,64,728,36.11%,28,24,1.19,0.203
DSJC500_5,500,62624,50.20%,215,215,0.00,16.939
san400_0.9_1,400,71820,90.00%,27,27,0.00,13.410
c-fat500-10,500,46627,37.38%,68,68,0.00,12.277
le450_5b,450,5734,5.68%,249,238,5.71,16.474
miles500,128,1170,14.39%,22,21,1.42,0.764
gen400_p0.9_75,400,71820,90.00%,21,21,0.00,13.630
DSJR500.1c,500,121275,97.21%,4,4,0.00,22.452
myciel3,11,20,36.36%,7,7,0.00,0.006
le450_5c,450,9803,9.70%,293,271,9.49,13.728
DSJR500.1,500,3555,2.85%,114,106,3.73,16.984
brock400_3,400,59681,74.79%,79,79,0.00,12.747
inithx.i.2,558,13979,9.00%,4,4,0.00,13.618
queen13_13,169,3328,23.44%,86,56,8.13,1.347
sanr200_0.7,200,13868,69.69%,40,40,0.00,2.118
brock400_2,400,59786,74.92%,73,73,0.00,12.835
fpsol2.i.3,363,8688,13.22%,4,4,0.00,4.116
fpsol2.i.1,269,11654,32.33%,4,4,0.00,3.670
inithx.i.1,519,18707,13.92%,4,4,0.00,21.204
sanr400_0.7,400,55869,70.01%,91,91,0.00,12.581
san200_0.9_3,200,17910,90.00%,14,14,0.00,2.547
johnson16-2-4,120,5460,76.47%,30,30,0.00,0.902
zeroin.i.2,157,3541,28.92%,4,4,0.25,0.929
san200_0.9_2,200,17910,90.00%,13,13,0.00,2.673
queen11_11,121,1980,27.27%,54,37,7.70,0.674
c-fat200-5,200,8473,42.58%,32,32,0.00,1.450
DSJC500.9,500,112437,90.13%,30,30,0.00,22.463
zeroin.i.1,126,4100,52.06%,4,4,0.57,0.977
queen7_7,49,476,40.48%,22,20,1.40,0.117
sanr400_0.5,400,39984,50.11%,168,168,0.00,10.047
brock800_4,800,207643,64.97%,236,236,0.00,79.873
le450_25a,450,8260,8.18%,248,238,6.43,16.512
miles750,128,2113,26.00%,19,18,2.16,0.631
san200_0.7_1,200,13930,70.00%,46,46,0.00,2.274
brock800_2,800,208166,65.13%,235,235,0.00,96.129
queen14_14,196,4186,21.90%,103,77,7.96,2.555
brock800_3,800,207333,64.87%,243,243,0.00,71.579
p_hat500-1,500,31569,25.31%,271,255,8.36,19.235
p_hat500-3,500,93800,75.19%,49,49,0.00,22.689
brock800_1,800,207505,64.93%,241,241,0.00,85.935
san400_0.7_2,400,55860,70.00%,97,97,0.00,12.547
hamming6-4,64,704,34.92%,24,24,0.00,0.200
brock200_4,200,13089,65.77%,54,54,0.00,2.074
c-fat500-2,500,9139,7.33%,38,38,0.00,7.171
san400_0.7_3,400,55860,70.00%,94,94,0.00,12.860
san400_0.7_1,400,55860,70.00%,100,100,0.00,12.196
anna,138,493,5.22%,50,50,0.37,0.778
DSJC250.1,250,3218,10.34%,133,123,5.04,4.441
c-fat500-1,500,4459,3.57%,60,60,1.63,12.621
miles250,125,387,4.99%,45,45,0.50,0.743
johnson8-4-4,70,1855,76.81%,18,18,0.00,0.179
hamming6-2,64,1824,90.48%,8,8,0.00,0.140
DSJC125.9,125,6961,89.82%,6,6,0.00,0.645
brock200_3,200,12048,60.54%,67,67,0.00,2.113
c-fat500-5,500,23191,18.59%,41,41,0.00,9.310
DSJC250.5,250,15668,50.34%,101,101,0.69,4.994
le450_15d,450,16750,16.58%,259,242,8.85,14.389
queen10_10,100,1470,29.70%,46,32,4.12,0.609
gen400_p0.9_55,400,71820,90.00%,26,26,0.00,13.334
