Graph,V(G),E(G),D(%),Fitness,Time(s),Optimal
p_hat300-1,300,10933,24.38%,141,900.000,0
mulsol.i.2,173,3885,26.11%,4,0.000,1
hamming8-2,256,31616,96.86%,10,56.000,1
myciel7,191,2360,13.01%,18,4.000,1
myciel6,95,755,16.91%,15,0.000,1
gen400_p0.9_65,400,71820,90.00%,23,63.000,1
mulsol.i.3,174,3916,26.02%,4,0.000,1
school1,385,19095,25.83%,101,900.000,0
p_hat300-2,300,21928,48.89%,72,900.000,0
C500.9,500,112332,90.05%,33,701.000,1
school1_nsh,352,14612,23.65%,112,900.000,0
le450_5d,450,9757,9.66%,214,900.000,0
mulsol.i.1,138,3925,41.52%,4,0.000,1
MANN_a27,378,70551,99.01%,5,19.000,1
DSJC125.5,125,3891,50.21%,45,900.000,0
homer,556,1628,1.06%,270,4.000,1
myciel5,47,236,21.83%,12,0.000,1
flat300_28_0,300,21695,48.37%,122,900.000,0
gen200_p0.9_44,200,17910,90.00%,11,31.000,1
DSJC250.9,250,27897,89.63%,17,129.000,1
p_hat300-3,300,33390,74.45%,34,370.000,1
johnson32-2-4,496,107880,87.88%,62,456.000,1
queen6_6,36,290,46.03%,15,0.000,1
le450_5a,450,5714,5.66%,217,900.000,0
mulsol.i.4,175,3946,25.92%,4,0.000,1
DSJC125.1,125,736,9.50%,50,900.000,0
gen200_p0.9_55,200,17910,90.00%,11,31.000,1
mulsol.i.5,176,3973,25.80%,4,0.000,1
queen8_8,64,728,36.11%,24,17.000,1
DSJC500_5,500,62624,50.20%,197,900.000,0
san400_0.9_1,400,71820,90.00%,27,85.000,1
c-fat500-10,500,46627,37.38%,68,35.000,1
le450_5b,450,5734,5.68%,207,900.000,0
miles500,128,1170,14.39%,21,0.000,1
gen400_p0.9_75,400,71820,90.00%,21,43.000,1
DSJR500.1c,500,121275,97.21%,4,12.000,1
myciel3,11,20,36.36%,7,0.000,1
queen15_15,225,5180,20.56%,62,900.000,0
le450_5c,450,9803,9.70%,201,900.000,0
C2000.9,2000,1799532,90.02%,2000,900.000,0
fpsol2.i.2,363,8691,13.23%,4,0.000,1
DSJR500.1,500,3555,2.85%,98,900.000,0
brock400_3,400,59681,74.79%,79,900.000,0
inithx.i.2,558,13979,9.00%,4,0.000,1
queen13_13,169,3328,23.44%,46,900.000,0
sanr200_0.7,200,13868,69.69%,40,441.000,1
inithx.i.3,559,13969,8.96%,4,0.000,1
brock400_2,400,59786,74.92%,73,900.000,0
c-fat200-1,200,1534,7.71%,29,1.000,1
fpsol2.i.3,363,8688,13.22%,4,0.000,1
flat1000_76_0,1000,246708,49.39%,471,900.000,0
