Graph,V(G),E(G),D(%),F/GA,F/BRKGA,F/PLI,OPT,T/GA,T/BRKGA,T/PLI,MIN/GA,MIN/BRKGA,STD/GA,STD/BRKGA,GAP(%)
bcspwr01,39,46,6.21%,24,23,23,1,0.055,0.011,0.0,23,23,0.37,0.0,0.0
can___62,62,78,4.12%,36,36,36,1,0.153,0.018,0.0,36,36,0.57,0.55,0.0
bcspwr02,49,59,5.02%,28,29,28,1,0.08,0.017,0.0,28,29,0.0,0.96,0.0
dwt_1242,1242,4592,0.60%,473,420,355,0,279.068,19.259,900.0,447,395,10.67,8.82,18.31
young1c,841,1624,0.46%,435,421,358,1,46.811,6.65,609.0,427,407,3.15,4.37,17.6
can___61,61,248,13.55%,19,24,19,1,0.131,0.018,0.0,19,24,0.65,1.09,0.0
dwt__492,492,1332,1.10%,189,194,178,1,27.428,1.875,8.0,183,185,4.04,4.53,6.18
bcspwr03,118,179,2.59%,64,67,63,1,0.566,0.087,0.0,63,65,1.43,0.98,1.59
can__838,838,4586,1.31%,328,451,307,0,133.403,6.558,900.0,318,441,6.0,5.61,6.84
bcsstk20,485,1325,1.13%,187,189,182,1,24.546,1.421,0.0,184,186,2.71,2.2,2.75
bcsstk09,1083,8677,1.48%,441,328,309,0,183.512,15.886,900.0,415,291,15.34,16.27,6.15
bcsstm27,1224,27451,3.67%,63,71,52,1,92.371,9.508,0.0,58,52,2.36,9.42,21.15
bcspwr04,274,669,1.79%,133,141,131,1,4.01,0.553,5.0,131,137,1.72,2.85,1.53
can___73,73,152,5.78%,35,39,35,1,0.197,0.027,0.0,35,39,0.86,1.03,0.0
dwt__245,245,608,2.03%,118,121,113,1,3.291,0.391,26.0,116,117,1.63,2.23,4.42
jagmesh2,1009,2928,0.58%,435,395,337,0,71.777,11.007,900.0,413,383,8.38,7.07,17.21
494_bus,494,586,0.48%,298,307,293,1,20.028,2.011,0.0,295,303,1.63,2.99,1.71
can_1054,1054,5571,1.00%,401,522,364,0,166.042,12.567,900.0,387,504,7.61,9.85,10.16
dwt__419,419,1572,1.80%,150,151,138,0,9.51,1.212,900.0,144,144,3.7,2.55,8.7
dwt__592,592,2256,1.29%,150,166,129,1,22.226,2.65,0.0,138,147,8.92,10.58,16.28
jagmesh3,1089,3136,0.53%,476,426,373,0,125.039,12.629,900.0,465,411,6.21,7.33,14.21
eris1176,1176,8688,1.26%,506,576,488,1,206.794,19.196,9.0,503,573,2.27,2.55,3.69
jagmesh1,936,2664,0.61%,400,366,315,0,58.398,7.673,900.0,390,356,4.75,7.14,16.19
dwt__209,209,767,3.53%,75,76,68,1,2.165,0.264,248.0,70,72,2.65,2.37,10.29
dwt__234,234,300,1.10%,125,134,124,1,2.799,0.382,0.0,124,127,1.01,4.26,0.81
can__268,268,1407,3.93%,89,129,83,1,5.672,0.482,170.0,85,122,2.07,4.58,7.23
bfw398b,398,1256,1.59%,188,187,172,0,17.764,1.013,900.0,182,184,2.84,2.26,8.72
dwt___72,72,75,2.93%,47,46,45,1,0.212,0.026,0.0,45,45,0.93,0.61,2.22
dwt___66,66,127,5.92%,28,28,26,1,0.167,0.022,0.0,26,26,1.52,0.92,7.69
jagmesh5,1180,3285,0.47%,536,468,409,0,137.536,15.871,900.0,524,445,6.83,8.21,14.43
can__292,292,1124,2.65%,106,108,99,1,6.942,0.508,47.0,102,100,1.4,5.32,7.07
ash85,85,219,6.13%,35,35,33,1,0.294,0.043,0.0,33,34,1.0,0.89,6.06
jagmesh7,1138,3156,0.49%,517,450,402,0,90.344,14.258,900.0,496,439,8.4,6.03,11.94
dwt___59,59,104,6.08%,29,29,29,1,0.153,0.017,0.0,29,29,0.72,0.59,0.0
dwt__346,346,1440,2.41%,153,156,145,0,15.4,0.799,900.0,146,150,4.19,2.78,5.52
