Graph,V(G),E(G),D(%),F/GA,F/BRKGA,F/PLI,OPT,T/GA,T/BRKGA,T/PLI,MIN/GA,MIN/BRKGA,STD/GA,STD/BRKGA,GAP(%)
mulsol.i.2,173,3885,26.11%,4,4,4,1,1.34,0.127,0.0,4,4,0.0,0.0,0.0
hamming8-2,256,31616,96.86%,10,10,10,1,3.816,0.198,56.0,10,10,0.0,0.0,0.0
myciel7,191,2360,13.01%,18,97,18,1,1.127,0.178,4.0,18,97,1.17,0.0,0.0
myciel6,95,755,16.91%,16,49,15,1,0.382,0.042,0.0,15,49,1.61,0.0,6.67
school1,385,19095,25.83%,101,102,101,0,14.9,0.634,900.0,101,102,0.31,0.0,0.0
p_hat300-2,300,21928,48.89%,72,72,72,0,4.422,0.334,900.0,72,72,0.0,0.0,0.0
school1_nsh,352,14612,23.65%,116,116,112,0,12.661,0.522,900.0,111,116,2.6,0.0,3.57
le450_5d,450,9757,9.66%,294,272,214,0,13.117,1.309,900.0,273,251,9.61,9.93,27.1
mulsol.i.1,138,3925,41.52%,4,4,4,1,0.898,0.082,0.0,4,4,0.0,0.0,0.0
homer,556,1628,1.06%,270,414,270,1,27.957,1.677,4.0,270,409,1.12,1.27,0.0
gen200_p0.9_44,200,17910,90.00%,11,11,11,1,2.513,0.139,31.0,11,11,0.0,0.0,0.0
le450_5a,450,5714,5.66%,251,249,217,0,18.893,1.514,900.0,234,227,8.02,9.5,14.75
mulsol.i.4,175,3946,25.92%,4,4,4,1,1.287,0.132,0.0,4,4,0.0,0.0,0.0
DSJC125.1,125,736,9.50%,57,61,50,0,0.968,0.101,900.0,52,59,2.91,1.5,14.0
gen200_p0.9_55,200,17910,90.00%,11,11,11,1,2.438,0.137,31.0,11,11,0.0,0.0,0.0
mulsol.i.5,176,3973,25.80%,4,4,4,1,1.194,0.15,0.0,4,4,0.0,0.0,0.0
queen8_8,64,728,36.11%,28,38,24,1,0.203,0.021,17.0,24,38,1.19,0.0,16.67
DSJC500_5,500,62624,50.20%,215,215,197,0,16.939,0.957,900.0,215,215,0.0,0.0,9.14
san400_0.9_1,400,71820,90.00%,27,27,27,1,13.41,0.536,85.0,27,27,0.0,0.0,0.0
c-fat500-10,500,46627,37.38%,68,128,68,1,12.277,0.773,35.0,68,128,0.0,0.0,0.0
le450_5b,450,5734,5.68%,249,249,207,0,16.474,1.582,900.0,238,229,5.71,7.36,20.29
miles500,128,1170,14.39%,22,22,21,1,0.764,0.083,0.0,21,21,1.42,1.11,4.76
gen400_p0.9_75,400,71820,90.00%,21,21,21,1,13.63,0.478,43.0,21,21,0.0,0.0,0.0
DSJR500.1c,500,121275,97.21%,4,4,4,1,22.452,0.734,12.0,4,4,0.0,0.0,0.0
myciel3,11,20,36.36%,7,7,7,1,0.006,0.004,0.0,7,7,0.0,0.0,0.0
le450_5c,450,9803,9.70%,293,264,201,0,13.728,1.331,900.0,271,241,9.49,10.85,31.34
DSJR500.1,500,3555,2.85%,114,117,98,0,16.984,1.849,900.0,106,110,3.73,3.93,16.33
brock400_3,400,59681,74.79%,79,79,79,0,12.747,0.494,900.0,79,79,0.0,0.0,0.0
inithx.i.2,558,13979,9.00%,4,4,4,1,13.618,1.226,0.0,4,4,0.0,0.0,0.0
queen13_13,169,3328,23.44%,86,122,46,0,1.347,0.122,900.0,56,122,8.13,0.0,86.96
sanr200_0.7,200,13868,69.69%,40,40,40,1,2.118,0.168,441.0,40,40,0.0,0.0,0.0
brock400_2,400,59786,74.92%,73,73,73,0,12.835,0.516,900.0,73,73,0.0,0.0,0.0
fpsol2.i.3,363,8688,13.22%,4,4,4,1,4.116,0.489,0.0,4,4,0.0,0.0,0.0
fpsol2.i.1,269,11654,32.33%,4,4,4,1,3.67,0.271,0.0,4,4,0.0,0.0,0.0
inithx.i.1,519,18707,13.92%,4,4,4,1,21.204,1.008,0.0,4,4,0.0,0.0,0.0
sanr400_0.7,400,55869,70.01%,91,91,91,0,12.581,0.528,900.0,91,91,0.0,0.0,0.0
san200_0.9_3,200,17910,90.00%,14,14,14,1,2.547,0.125,72.0,14,14,0.0,0.0,0.0
johnson16-2-4,120,5460,76.47%,30,30,30,1,0.902,0.052,0.0,30,30,0.0,0.0,0.0
zeroin.i.2,157,3541,28.92%,4,4,4,1,0.929,0.143,0.0,4,4,0.25,0.0,0.0
san200_0.9_2,200,17910,90.00%,13,13,13,1,2.673,0.148,66.0,13,13,0.0,0.0,0.0
