Graph,V(G),E(G),D(%),F/GA,F/BRKGA,F/PLI,OPT,T/GA,T/BRKGA,T/PLI,MIN/GA,MIN/BRKGA,STD/GA,STD/BRKGA,GAP(%)
cubic_400,400,600,0.75%,231,228,213,0,18.144,0.96,900.0,228,224,2.15,2.29,7.04
cubic_776,776,1164,0.39%,460,445,420,0,87.527,6.267,900.0,454,436,3.6,3.98,5.95
cubic_576,576,864,0.52%,335,330,314,0,46.233,2.288,900.0,328,324,3.67,2.63,5.1
cubic_600,600,900,0.50%,350,345,324,0,50.386,2.401,900.0,344,338,3.75,2.67,6.48
rd_300_0.2,300,9066,20.21%,169,218,142,0,8.554,0.406,900.0,157,218,6.05,0.0,19.01
rd_350_0.8,350,48730,79.79%,50,50,50,1,16.998,0.39,98.0,50,50,0.0,0.0,0.0
rd_500_0.5,500,62388,50.01%,220,220,218,0,35.722,0.825,900.0,220,220,0.0,0.0,0.92
cubic_176,176,264,1.71%,101,100,94,1,2.802,0.182,10.0,98,96,1.75,1.61,6.38
cubic_200,200,300,1.51%,115,113,106,1,3.638,0.188,73.0,110,112,2.16,1.36,6.6
rd_500_0.2,500,25031,20.06%,295,373,249,0,24.446,1.202,900.0,280,373,9.07,0.0,18.47
cubic_376,376,564,0.80%,216,215,200,0,19.234,0.877,900.0,212,212,2.75,1.92,7.5
rd_300_0.5,300,22366,49.87%,128,128,121,0,9.663,0.333,900.0,128,128,0.0,0.0,5.79
cubic_700,700,1050,0.43%,411,402,380,0,68.952,4.598,900.0,406,396,2.68,3.21,5.79
rd_150_0.2,150,2260,20.22%,74,88,64,0,1.842,0.162,900.0,66,79,4.29,5.12,15.62
cubic_476,476,714,0.63%,276,273,258,0,31.23,1.476,900.0,271,268,3.15,2.56,5.81
cubic_850,850,1275,0.35%,507,487,464,0,107.63,8.184,900.0,500,482,3.68,3.25,4.96
cubic_676,676,1014,0.44%,396,386,364,0,59.217,4.077,900.0,390,378,3.55,3.58,6.04
rd_400_0.5,400,39927,50.03%,174,174,174,0,19.378,0.645,900.0,174,174,0.0,0.0,0.0
rd_200_0.2,200,4021,20.21%,108,131,86,0,3.204,0.221,900.0,97,131,6.41,0.0,25.58
cubic_500,500,750,0.60%,289,286,270,0,34.251,1.703,900.0,282,280,3.47,2.98,5.93
rd_250_0.8,250,24806,79.70%,36,36,36,1,7.586,0.201,111.0,36,36,0.0,0.0,0.0
cubic_276,276,414,1.09%,158,156,146,1,8.237,0.468,265.0,154,154,2.27,1.71,6.85
cubic_50,50,75,6.12%,29,27,26,1,0.109,0.015,0.0,28,26,0.96,1.0,3.85
cubic_100,100,150,3.03%,58,56,54,1,0.621,0.04,0.0,56,54,1.17,1.14,3.7
rd_150_0.5,150,5576,49.90%,61,61,53,1,1.571,0.086,426.0,61,61,0.0,0.0,15.09
rd_200_0.5,200,9907,49.78%,80,80,75,0,3.195,0.162,900.0,80,80,0.0,0.0,6.67
rd_450_0.8,450,80679,79.86%,64,64,64,1,36.471,0.631,163.0,64,64,0.0,0.0,0.0
rd_400_0.2,400,16057,20.12%,229,293,181,0,17.895,0.722,900.0,215,293,7.7,0.0,26.52
cubic_300,300,450,1.00%,172,171,162,0,9.812,0.492,900.0,168,168,2.41,2.0,5.56
cubic_76,76,114,4.00%,44,42,42,1,0.359,0.033,0.0,42,42,1.36,0.96,0.0
rd_450_0.5,450,50489,49.98%,199,199,196,0,26.793,0.703,900.0,199,199,0.0,0.0,1.53
rd_200_0.8,200,15844,79.62%,30,30,30,1,4.497,0.141,79.0,30,30,0.0,0.0,0.0
cubic_250,250,375,1.20%,143,141,131,1,6.546,0.376,78.0,140,138,2.13,1.67,7.63
rd_250_0.2,250,6284,20.19%,138,167,122,0,5.112,0.322,900.0,130,167,4.55,0.0,13.11
rd_150_0.8,150,8933,79.94%,20,20,20,1,1.681,0.092,9.0,20,20,0.0,0.0,0.0
rd_250_0.5,250,15544,49.94%,105,107,98,0,7.397,0.235,900.0,102,107,2.07,0.0,7.14
rd_450_0.2,450,20245,20.04%,262,333,218,0,18.059,0.986,900.0,241,333,8.91,0.0,20.18
rd_400_0.8,400,63677,79.80%,60,60,60,1,26.994,0.49,106.0,60,60,0.0,0.0,0.0
cubic_450,450,675,0.67%,261,257,244,0,25.916,1.428,900.0,254,252,3.32,2.77,5.33
cubic_650,650,975,0.46%,380,372,354,0,60.116,3.076,900.0,376,366,2.94,3.0,5.08
cubic_876,876,1314,0.34%,526,502,470,0,108.718,8.626,900.0,518,494,3.57,4.24,6.81
cubic_150,150,225,2.01%,85,84,80,1,2.005,0.122,2.0,82,82,1.85,1.36,5.0
rd_300_0.8,300,35742,79.69%,44,44,44,1,12.274,0.259,118.0,44,44,0.0,0.0,0.0
rd_350_0.2,350,12311,20.16%,201,259,173,0,12.186,0.502,900.0,186,259,6.54,0.0,16.18
cubic_350,350,525,0.86%,201,200,188,0,15.205,0.664,900.0,196,196,2.59,2.01,6.38
cubic_750,750,1125,0.40%,445,430,410,0,82.574,5.924,900.0,440,426,2.65,2.55,4.88
rd_500_0.8,500,99649,79.88%,78,78,78,1,48.199,0.785,556.0,78,78,0.0,0.0,0.0
rd_350_0.5,350,30572,50.06%,149,149,140,0,14.52,0.432,900.0,149,149,0.0,0.0,6.43
cubic_800,800,1200,0.38%,476,458,436,0,95.855,4.791,900.0,468,452,4.47,3.51,5.05
cubic_550,550,825,0.55%,320,316,298,0,42.741,2.11,900.0,316,310,3.12,2.8,6.04
