Graph,V(G),E(G),D(%),Fitness,MIN,STD,Time(s)
cubic_400,400,600,0.75%,228,224,2.29,0.960
cubic_776,776,1164,0.39%,445,436,3.98,6.267
cubic_576,576,864,0.52%,330,324,2.63,2.288
cubic_600,600,900,0.50%,345,338,2.67,2.401
rd_300_0.2,300,9066,20.21%,218,218,0.00,0.406
rd_350_0.8,350,48730,79.79%,50,50,0.00,0.390
rd_500_0.5,500,62388,50.01%,220,220,0.00,0.825
cubic_176,176,264,1.71%,100,96,1.61,0.182
cubic_200,200,300,1.51%,113,112,1.36,0.188
rd_500_0.2,500,25031,20.06%,373,373,0.00,1.202
cubic_376,376,564,0.80%,215,212,1.92,0.877
rd_300_0.5,300,22366,49.87%,128,128,0.00,0.333
cubic_700,700,1050,0.43%,402,396,3.21,4.598
rd_150_0.2,150,2260,20.22%,88,79,5.12,0.162
cubic_476,476,714,0.63%,273,268,2.56,1.476
cubic_850,850,1275,0.35%,487,482,3.25,8.184
cubic_676,676,1014,0.44%,386,378,3.58,4.077
rd_400_0.5,400,39927,50.03%,174,174,0.00,0.645
rd_200_0.2,200,4021,20.21%,131,131,0.00,0.221
cubic_500,500,750,0.60%,286,280,2.98,1.703
rd_250_0.8,250,24806,79.70%,36,36,0.00,0.201
cubic_276,276,414,1.09%,156,154,1.71,0.468
cubic_50,50,75,6.12%,27,26,1.00,0.015
cubic_100,100,150,3.03%,56,54,1.14,0.040
rd_150_0.5,150,5576,49.90%,61,61,0.00,0.086
rd_200_0.5,200,9907,49.78%,80,80,0.00,0.162
rd_450_0.8,450,80679,79.86%,64,64,0.00,0.631
rd_400_0.2,400,16057,20.12%,293,293,0.00,0.722
cubic_300,300,450,1.00%,171,168,2.00,0.492
cubic_76,76,114,4.00%,42,42,0.96,0.033
rd_450_0.5,450,50489,49.98%,199,199,0.00,0.703
rd_200_0.8,200,15844,79.62%,30,30,0.00,0.141
cubic_250,250,375,1.20%,141,138,1.67,0.376
rd_250_0.2,250,6284,20.19%,167,167,0.00,0.322
rd_150_0.8,150,8933,79.94%,20,20,0.00,0.092
rd_250_0.5,250,15544,49.94%,107,107,0.00,0.235
rd_450_0.2,450,20245,20.04%,333,333,0.00,0.986
rd_400_0.8,400,63677,79.80%,60,60,0.00,0.490
cubic_450,450,675,0.67%,257,252,2.77,1.428
cubic_650,650,975,0.46%,372,366,3.00,3.076
cubic_876,876,1314,0.34%,502,494,4.24,8.626
cubic_150,150,225,2.01%,84,82,1.36,0.122
rd_300_0.8,300,35742,79.69%,44,44,0.00,0.259
rd_350_0.2,350,12311,20.16%,259,259,0.00,0.502
cubic_350,350,525,0.86%,200,196,2.01,0.664
cubic_750,750,1125,0.40%,430,426,2.55,5.924
rd_500_0.8,500,99649,79.88%,78,78,0.00,0.785
rd_350_0.5,350,30572,50.06%,149,149,0.00,0.432
cubic_800,800,1200,0.38%,458,452,3.51,4.791
cubic_550,550,825,0.55%,316,310,2.80,2.110
