Graph,V(G),E(G),D(%),Fitness,MIN,STD,Time(s)
cubic_400,400,600,0.75%,231,228,2.15,18.144
cubic_776,776,1164,0.39%,460,454,3.60,87.527
cubic_576,576,864,0.52%,335,328,3.67,46.233
cubic_600,600,900,0.50%,350,344,3.75,50.386
rd_300_0.2,300,9066,20.21%,169,157,6.05,8.554
rd_350_0.8,350,48730,79.79%,50,50,0.00,16.998
rd_500_0.5,500,62388,50.01%,220,220,0.00,35.722
cubic_176,176,264,1.71%,101,98,1.75,2.802
cubic_200,200,300,1.51%,115,110,2.16,3.638
rd_500_0.2,500,25031,20.06%,295,280,9.07,24.446
cubic_376,376,564,0.80%,216,212,2.75,19.234
rd_300_0.5,300,22366,49.87%,128,128,0.00,9.663
cubic_700,700,1050,0.43%,411,406,2.68,68.952
rd_150_0.2,150,2260,20.22%,74,66,4.29,1.842
cubic_476,476,714,0.63%,276,271,3.15,31.230
cubic_850,850,1275,0.35%,507,500,3.68,107.630
cubic_676,676,1014,0.44%,396,390,3.55,59.217
rd_400_0.5,400,39927,50.03%,174,174,0.00,19.378
rd_200_0.2,200,4021,20.21%,108,97,6.41,3.204
cubic_500,500,750,0.60%,289,282,3.47,34.251
rd_250_0.8,250,24806,79.70%,36,36,0.00,7.586
cubic_276,276,414,1.09%,158,154,2.27,8.237
cubic_50,50,75,6.12%,29,28,0.96,0.109
cubic_100,100,150,3.03%,58,56,1.17,0.621
rd_150_0.5,150,5576,49.90%,61,61,0.00,1.571
rd_200_0.5,200,9907,49.78%,80,80,0.00,3.195
rd_450_0.8,450,80679,79.86%,64,64,0.00,36.471
rd_400_0.2,400,16057,20.12%,229,215,7.70,17.895
cubic_300,300,450,1.00%,172,168,2.41,9.812
cubic_76,76,114,4.00%,44,42,1.36,0.359
rd_450_0.5,450,50489,49.98%,199,199,0.00,26.793
rd_200_0.8,200,15844,79.62%,30,30,0.00,4.497
cubic_250,250,375,1.20%,143,140,2.13,6.546
rd_250_0.2,250,6284,20.19%,138,130,4.55,5.112
rd_150_0.8,150,8933,79.94%,20,20,0.00,1.681
rd_250_0.5,250,15544,49.94%,105,102,2.07,7.397
rd_450_0.2,450,20245,20.04%,262,241,8.91,18.059
rd_400_0.8,400,63677,79.80%,60,60,0.00,26.994
cubic_450,450,675,0.67%,261,254,3.32,25.916
cubic_650,650,975,0.46%,380,376,2.94,60.116
cubic_876,876,1314,0.34%,526,518,3.57,108.718
cubic_150,150,225,2.01%,85,82,1.85,2.005
rd_300_0.8,300,35742,79.69%,44,44,0.00,12.274
rd_350_0.2,350,12311,20.16%,201,186,6.54,12.186
cubic_350,350,525,0.86%,201,196,2.59,15.205
cubic_750,750,1125,0.40%,445,440,2.65,82.574
rd_500_0.8,500,99649,79.88%,78,78,0.00,48.199
rd_350_0.5,350,30572,50.06%,149,149,0.00,14.520
cubic_800,800,1200,0.38%,476,468,4.47,95.855
cubic_550,550,825,0.55%,320,316,3.12,42.741
