graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can__161,161,608,0.00329489,53,0.422968
can__161,161,608,0.00329489,41,0.401483
can__161,161,608,0.00329489,41,0.438646
can__161,161,608,0.00329489,41,0.490699
can__161,161,608,0.00329489,41,0.387787
can__161,161,608,0.00329489,41,0.407128
can__161,161,608,0.00329489,41,0.462612
can__161,161,608,0.00329489,41,0.388662
can__161,161,608,0.00329489,53,0.584237
can__161,161,608,0.00329489,41,0.464354
can__161,161,608,0.00329489,41,0.407797
can__161,161,608,0.00329489,52,0.708616
can__161,161,608,0.00329489,41,0.401354
can__161,161,608,0.00329489,41,0.384825
can__161,161,608,0.00329489,41,0.403302
can__161,161,608,0.00329489,41,0.520697
can__161,161,608,0.00329489,41,0.465768
can__161,161,608,0.00329489,41,0.483652
can__161,161,608,0.00329489,41,0.478513
can__161,161,608,0.00329489,41,0.458838
can__161,161,608,0.00329489,41,0.399185
can__161,161,608,0.00329489,41,0.408819
can__161,161,608,0.00329489,53,0.411604
can__161,161,608,0.00329489,41,0.379421
can__161,161,608,0.00329489,43,0.438403
can__161,161,608,0.00329489,43,0.403289
can__161,161,608,0.00329489,41,0.381492
can__161,161,608,0.00329489,41,0.467888
can__161,161,608,0.00329489,51,0.407612
can__161,161,608,0.00329489,54,0.612827
