graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can___24,24,68,0.0298507,8,0.0206485
can___24,24,68,0.0298507,8,0.0141319
can___24,24,68,0.0298507,8,0.0117475
can___24,24,68,0.0298507,8,0.0152961
can___24,24,68,0.0298507,8,0.0126566
can___24,24,68,0.0298507,8,0.0107709
can___24,24,68,0.0298507,8,0.0133078
can___24,24,68,0.0298507,8,0.0127203
can___24,24,68,0.0298507,8,0.0101616
can___24,24,68,0.0298507,8,0.0170927
can___24,24,68,0.0298507,8,0.014601
can___24,24,68,0.0298507,8,0.0185172
can___24,24,68,0.0298507,10,0.0102542
can___24,24,68,0.0298507,8,0.0177239
can___24,24,68,0.0298507,8,0.0126136
can___24,24,68,0.0298507,8,0.0149016
can___24,24,68,0.0298507,8,0.0149355
can___24,24,68,0.0298507,8,0.0156334
can___24,24,68,0.0298507,8,0.0142218
can___24,24,68,0.0298507,8,0.0119633
can___24,24,68,0.0298507,8,0.0124532
can___24,24,68,0.0298507,8,0.0137534
can___24,24,68,0.0298507,8,0.011626
can___24,24,68,0.0298507,8,0.0100875
can___24,24,68,0.0298507,8,0.0104684
can___24,24,68,0.0298507,8,0.0153588
can___24,24,68,0.0298507,8,0.0103537
can___24,24,68,0.0298507,8,0.0104764
can___24,24,68,0.0298507,10,0.0106527
can___24,24,68,0.0298507,8,0.0164861
