graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
DSJC250.1,250,3218,0.000621697,122,13.3819
DSJC250.1,250,3218,0.000621697,135,11.0741
DSJC250.1,250,3218,0.000621697,122,9.64836
DSJC250.1,250,3218,0.000621697,130,8.89893
DSJC250.1,250,3218,0.000621697,133,15.1814
DSJC250.1,250,3218,0.000621697,128,11.0911
DSJC250.1,250,3218,0.000621697,129,7.43842
DSJC250.1,250,3218,0.000621697,127,8.47485
DSJC250.1,250,3218,0.000621697,123,8.79965
DSJC250.1,250,3218,0.000621697,128,8.19749
DSJC250.1,250,3218,0.000621697,134,7.34585
DSJC250.1,250,3218,0.000621697,126,9.73889
DSJC250.1,250,3218,0.000621697,131,9.88381
DSJC250.1,250,3218,0.000621697,124,9.12159
DSJC250.1,250,3218,0.000621697,126,12.0746
DSJC250.1,250,3218,0.000621697,132,6.17594
DSJC250.1,250,3218,0.000621697,122,16.3897
DSJC250.1,250,3218,0.000621697,134,7.97489
DSJC250.1,250,3218,0.000621697,126,7.79402
DSJC250.1,250,3218,0.000621697,127,12.3558
DSJC250.1,250,3218,0.000621697,126,17.9387
DSJC250.1,250,3218,0.000621697,126,8.39909
DSJC250.1,250,3218,0.000621697,130,9.85093
DSJC250.1,250,3218,0.000621697,128,6.79462
DSJC250.1,250,3218,0.000621697,124,14.2361
DSJC250.1,250,3218,0.000621697,127,12.3155
DSJC250.1,250,3218,0.000621697,129,6.71363
DSJC250.1,250,3218,0.000621697,134,5.97608
DSJC250.1,250,3218,0.000621697,133,11.6331
DSJC250.1,250,3218,0.000621697,130,14.5497
