graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
c-fat200-2,200,3235,0.000618429,12,3.48321
c-fat200-2,200,3235,0.000618429,12,3.39006
c-fat200-2,200,3235,0.000618429,12,3.3092
c-fat200-2,200,3235,0.000618429,12,3.12754
c-fat200-2,200,3235,0.000618429,12,4.45925
c-fat200-2,200,3235,0.000618429,12,5.24596
c-fat200-2,200,3235,0.000618429,12,3.8339
c-fat200-2,200,3235,0.000618429,12,3.27509
c-fat200-2,200,3235,0.000618429,12,2.92339
c-fat200-2,200,3235,0.000618429,12,5.31545
c-fat200-2,200,3235,0.000618429,12,4.04859
c-fat200-2,200,3235,0.000618429,12,7.23538
c-fat200-2,200,3235,0.000618429,12,3.61267
c-fat200-2,200,3235,0.000618429,12,4.86781
c-fat200-2,200,3235,0.000618429,12,4.21686
c-fat200-2,200,3235,0.000618429,12,5.73522
c-fat200-2,200,3235,0.000618429,12,4.95896
c-fat200-2,200,3235,0.000618429,12,4.37778
c-fat200-2,200,3235,0.000618429,12,5.67058
c-fat200-2,200,3235,0.000618429,12,3.84028
c-fat200-2,200,3235,0.000618429,12,3.80856
c-fat200-2,200,3235,0.000618429,12,3.23869
c-fat200-2,200,3235,0.000618429,12,4.54056
c-fat200-2,200,3235,0.000618429,12,4.4011
c-fat200-2,200,3235,0.000618429,12,4.5446
c-fat200-2,200,3235,0.000618429,12,4.21754
c-fat200-2,200,3235,0.000618429,12,4.31985
c-fat200-2,200,3235,0.000618429,12,5.33943
c-fat200-2,200,3235,0.000618429,12,3.0324
c-fat200-2,200,3235,0.000618429,12,4.56278
