graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
david,87,406,0.00493827,6,0.379712
david,87,406,0.00493827,6,0.382887
david,87,406,0.00493827,6,0.464554
david,87,406,0.00493827,6,0.415534
david,87,406,0.00493827,6,0.388883
david,87,406,0.00493827,6,0.502952
david,87,406,0.00493827,6,0.401834
david,87,406,0.00493827,6,0.420933
david,87,406,0.00493827,6,0.396703
david,87,406,0.00493827,6,0.389752
david,87,406,0.00493827,6,0.457508
david,87,406,0.00493827,6,0.550911
david,87,406,0.00493827,6,0.535691
david,87,406,0.00493827,6,0.38791
david,87,406,0.00493827,6,0.382067
david,87,406,0.00493827,6,0.471328
david,87,406,0.00493827,6,0.407161
david,87,406,0.00493827,6,0.398299
david,87,406,0.00493827,6,0.595631
david,87,406,0.00493827,6,0.426986
david,87,406,0.00493827,6,0.446627
david,87,406,0.00493827,6,0.494723
david,87,406,0.00493827,6,0.413417
david,87,406,0.00493827,6,0.37805
david,87,406,0.00493827,6,0.434317
david,87,406,0.00493827,6,0.505627
david,87,406,0.00493827,6,0.400718
david,87,406,0.00493827,6,0.420095
david,87,406,0.00493827,6,0.410559
david,87,406,0.00493827,6,0.534054
