graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
flat300_20_0,300,21375,9.35716e-05,125,33.9399
flat300_20_0,300,21375,9.35716e-05,132,42.184
flat300_20_0,300,21375,9.35716e-05,128,35.2295
flat300_20_0,300,21375,9.35716e-05,128,36.1432
flat300_20_0,300,21375,9.35716e-05,132,31.6426
flat300_20_0,300,21375,9.35716e-05,130,32.0933
flat300_20_0,300,21375,9.35716e-05,133,42.4694
flat300_20_0,300,21375,9.35716e-05,128,41.6283
flat300_20_0,300,21375,9.35716e-05,129,33.3692
flat300_20_0,300,21375,9.35716e-05,134,29.4765
flat300_20_0,300,21375,9.35716e-05,128,39.7326
flat300_20_0,300,21375,9.35716e-05,134,41.5412
flat300_20_0,300,21375,9.35716e-05,130,38.7532
flat300_20_0,300,21375,9.35716e-05,132,37.7402
flat300_20_0,300,21375,9.35716e-05,132,39.7876
flat300_20_0,300,21375,9.35716e-05,134,34.8807
flat300_20_0,300,21375,9.35716e-05,132,28.2787
flat300_20_0,300,21375,9.35716e-05,128,37.3452
flat300_20_0,300,21375,9.35716e-05,131,30.845
flat300_20_0,300,21375,9.35716e-05,135,31.4351
flat300_20_0,300,21375,9.35716e-05,130,28.9036
flat300_20_0,300,21375,9.35716e-05,130,27.5035
flat300_20_0,300,21375,9.35716e-05,128,30.3275
flat300_20_0,300,21375,9.35716e-05,135,27.8918
flat300_20_0,300,21375,9.35716e-05,137,28.9642
flat300_20_0,300,21375,9.35716e-05,135,35.3896
flat300_20_0,300,21375,9.35716e-05,129,32.528
flat300_20_0,300,21375,9.35716e-05,125,30.4693
flat300_20_0,300,21375,9.35716e-05,128,38.8432
flat300_20_0,300,21375,9.35716e-05,131,26.1278
