graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
hamming6-4,64,704,0.00284495,24,0.282242
hamming6-4,64,704,0.00284495,24,0.277915
hamming6-4,64,704,0.00284495,24,0.282027
hamming6-4,64,704,0.00284495,24,0.278522
hamming6-4,64,704,0.00284495,24,0.326648
hamming6-4,64,704,0.00284495,24,0.413172
hamming6-4,64,704,0.00284495,24,0.361589
hamming6-4,64,704,0.00284495,24,0.276654
hamming6-4,64,704,0.00284495,24,0.279561
hamming6-4,64,704,0.00284495,24,0.361157
hamming6-4,64,704,0.00284495,24,0.284448
hamming6-4,64,704,0.00284495,24,0.274721
hamming6-4,64,704,0.00284495,24,0.290983
hamming6-4,64,704,0.00284495,24,0.356665
hamming6-4,64,704,0.00284495,24,0.530445
hamming6-4,64,704,0.00284495,24,0.28671
hamming6-4,64,704,0.00284495,24,0.464353
hamming6-4,64,704,0.00284495,24,0.374868
hamming6-4,64,704,0.00284495,24,0.284995
hamming6-4,64,704,0.00284495,24,0.282383
hamming6-4,64,704,0.00284495,24,0.278228
hamming6-4,64,704,0.00284495,24,0.490779
hamming6-4,64,704,0.00284495,24,0.863544
hamming6-4,64,704,0.00284495,24,0.288418
hamming6-4,64,704,0.00284495,24,0.355883
hamming6-4,64,704,0.00284495,24,0.430458
hamming6-4,64,704,0.00284495,24,0.283211
hamming6-4,64,704,0.00284495,24,0.346178
hamming6-4,64,704,0.00284495,24,0.374495
hamming6-4,64,704,0.00284495,24,0.286491
