graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
le450_15d,450,16750,0.00011941,243,45.6584
le450_15d,450,16750,0.00011941,254,34.7417
le450_15d,450,16750,0.00011941,249,74.1484
le450_15d,450,16750,0.00011941,247,34.7805
le450_15d,450,16750,0.00011941,238,41.5612
le450_15d,450,16750,0.00011941,249,38.6141
le450_15d,450,16750,0.00011941,250,33.4956
le450_15d,450,16750,0.00011941,250,44.631
le450_15d,450,16750,0.00011941,252,38.257
le450_15d,450,16750,0.00011941,249,41.292
le450_15d,450,16750,0.00011941,259,44.9693
le450_15d,450,16750,0.00011941,252,39.7439
le450_15d,450,16750,0.00011941,253,37.7268
le450_15d,450,16750,0.00011941,245,37.3082
le450_15d,450,16750,0.00011941,242,38.2482
le450_15d,450,16750,0.00011941,236,38.6787
le450_15d,450,16750,0.00011941,245,38.429
le450_15d,450,16750,0.00011941,254,33.0493
le450_15d,450,16750,0.00011941,248,35.177
le450_15d,450,16750,0.00011941,255,63.7817
le450_15d,450,16750,0.00011941,249,43.8474
le450_15d,450,16750,0.00011941,248,35.5113
le450_15d,450,16750,0.00011941,251,34.6529
le450_15d,450,16750,0.00011941,260,33.4811
le450_15d,450,16750,0.00011941,249,78.632
le450_15d,450,16750,0.00011941,239,40.7037
le450_15d,450,16750,0.00011941,244,52.4187
le450_15d,450,16750,0.00011941,250,80.095
le450_15d,450,16750,0.00011941,262,34.9791
le450_15d,450,16750,0.00011941,259,44.0196
