graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
ash292,292,958,0.00208986,106,8.36941
ash292,292,958,0.00208986,107,14.1431
ash292,292,958,0.00208986,108,9.83966
ash292,292,958,0.00208986,103,14.8315
ash292,292,958,0.00208986,110,9.59311
ash292,292,958,0.00208986,101,17.478
ash292,292,958,0.00208986,105,16.3273
ash292,292,958,0.00208986,106,10.4437
ash292,292,958,0.00208986,102,11.0372
ash292,292,958,0.00208986,108,16.6325
ash292,292,958,0.00208986,103,19.3949
ash292,292,958,0.00208986,111,11.312
ash292,292,958,0.00208986,110,15.5737
ash292,292,958,0.00208986,108,8.68913
ash292,292,958,0.00208986,107,8.64217
ash292,292,958,0.00208986,108,10.4347
ash292,292,958,0.00208986,108,7.45475
ash292,292,958,0.00208986,102,20.5375
ash292,292,958,0.00208986,107,9.65813
ash292,292,958,0.00208986,112,7.40838
ash292,292,958,0.00208986,104,15.4517
ash292,292,958,0.00208986,106,10.3599
ash292,292,958,0.00208986,104,6.57856
ash292,292,958,0.00208986,102,8.91496
ash292,292,958,0.00208986,103,15.4479
ash292,292,958,0.00208986,106,9.54664
ash292,292,958,0.00208986,108,9.76784
ash292,292,958,0.00208986,106,10.5135
ash292,292,958,0.00208986,108,9.30528
ash292,292,958,0.00208986,106,9.74486
