graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
bcspwr09,1723,2394,0.000835771,1088,637.157
bcspwr09,1723,2394,0.000835771,1081,900
bcspwr09,1723,2394,0.000835771,1070,900
bcspwr09,1723,2394,0.000835771,1077,900
bcspwr09,1723,2394,0.000835771,1084,900
bcspwr09,1723,2394,0.000835771,1084,900
bcspwr09,1723,2394,0.000835771,1072,900
bcspwr09,1723,2394,0.000835771,1086,900
bcspwr09,1723,2394,0.000835771,1081,900
bcspwr09,1723,2394,0.000835771,1083,900
bcspwr09,1723,2394,0.000835771,1078,900
bcspwr09,1723,2394,0.000835771,1077,900
bcspwr09,1723,2394,0.000835771,1078,900
bcspwr09,1723,2394,0.000835771,1084,900
bcspwr09,1723,2394,0.000835771,1083,900
bcspwr09,1723,2394,0.000835771,1080,900
bcspwr09,1723,2394,0.000835771,1079,749.609
bcspwr09,1723,2394,0.000835771,1080,900
bcspwr09,1723,2394,0.000835771,1072,900
bcspwr09,1723,2394,0.000835771,1075,900
bcspwr09,1723,2394,0.000835771,1082,900
bcspwr09,1723,2394,0.000835771,1083,900
bcspwr09,1723,2394,0.000835771,1084,900
bcspwr09,1723,2394,0.000835771,1085,900
bcspwr09,1723,2394,0.000835771,1073,900
bcspwr09,1723,2394,0.000835771,1079,900
bcspwr09,1723,2394,0.000835771,1082,900
bcspwr09,1723,2394,0.000835771,1075,900
bcspwr09,1723,2394,0.000835771,1079,900
bcspwr09,1723,2394,0.000835771,1083,900
