graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can__229,229,774,0.00258732,74,4.14278
can__229,229,774,0.00258732,74,9.01689
can__229,229,774,0.00258732,76,3.57887
can__229,229,774,0.00258732,79,6.53693
can__229,229,774,0.00258732,78,5.05377
can__229,229,774,0.00258732,85,4.60332
can__229,229,774,0.00258732,74,4.03934
can__229,229,774,0.00258732,79,5.66774
can__229,229,774,0.00258732,77,4.43434
can__229,229,774,0.00258732,82,5.16832
can__229,229,774,0.00258732,78,5.04861
can__229,229,774,0.00258732,78,4.2923
can__229,229,774,0.00258732,82,4.55734
can__229,229,774,0.00258732,74,5.99338
can__229,229,774,0.00258732,79,5.50093
can__229,229,774,0.00258732,83,4.08013
can__229,229,774,0.00258732,75,4.43856
can__229,229,774,0.00258732,75,4.93646
can__229,229,774,0.00258732,74,4.55915
can__229,229,774,0.00258732,79,4.16369
can__229,229,774,0.00258732,77,4.84888
can__229,229,774,0.00258732,83,7.48826
can__229,229,774,0.00258732,78,3.61989
can__229,229,774,0.00258732,74,5.47801
can__229,229,774,0.00258732,74,9.96738
can__229,229,774,0.00258732,78,3.56063
can__229,229,774,0.00258732,80,7.20748
can__229,229,774,0.00258732,76,4.4393
can__229,229,774,0.00258732,74,4.22906
can__229,229,774,0.00258732,82,9.1835
