graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can___96,96,336,0.00597015,26,0.479542
can___96,96,336,0.00597015,26,0.480279
can___96,96,336,0.00597015,26,0.54982
can___96,96,336,0.00597015,26,0.718175
can___96,96,336,0.00597015,26,1.10319
can___96,96,336,0.00597015,26,0.930119
can___96,96,336,0.00597015,26,0.505668
can___96,96,336,0.00597015,26,0.494936
can___96,96,336,0.00597015,26,0.913024
can___96,96,336,0.00597015,26,0.482106
can___96,96,336,0.00597015,26,0.703986
can___96,96,336,0.00597015,26,0.542877
can___96,96,336,0.00597015,26,0.473811
can___96,96,336,0.00597015,26,0.947944
can___96,96,336,0.00597015,26,0.563618
can___96,96,336,0.00597015,26,0.465045
can___96,96,336,0.00597015,26,0.548179
can___96,96,336,0.00597015,26,0.496644
can___96,96,336,0.00597015,26,0.491661
can___96,96,336,0.00597015,26,0.484925
can___96,96,336,0.00597015,26,0.487515
can___96,96,336,0.00597015,26,0.470176
can___96,96,336,0.00597015,26,0.593286
can___96,96,336,0.00597015,26,0.469345
can___96,96,336,0.00597015,26,0.46784
can___96,96,336,0.00597015,26,0.561014
can___96,96,336,0.00597015,26,0.478374
can___96,96,336,0.00597015,26,0.756543
can___96,96,336,0.00597015,26,0.534844
can___96,96,336,0.00597015,26,0.460576
