graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
dwt_1007,1007,3784,0.000528681,307,638.443
dwt_1007,1007,3784,0.000528681,299,541.974
dwt_1007,1007,3784,0.000528681,307,620.932
dwt_1007,1007,3784,0.000528681,320,675.096
dwt_1007,1007,3784,0.000528681,312,694.264
dwt_1007,1007,3784,0.000528681,281,657.1
dwt_1007,1007,3784,0.000528681,324,662.563
dwt_1007,1007,3784,0.000528681,300,653.146
dwt_1007,1007,3784,0.000528681,300,674.211
dwt_1007,1007,3784,0.000528681,313,678.356
dwt_1007,1007,3784,0.000528681,321,654.387
dwt_1007,1007,3784,0.000528681,322,490.332
dwt_1007,1007,3784,0.000528681,312,685.821
dwt_1007,1007,3784,0.000528681,302,686.133
dwt_1007,1007,3784,0.000528681,295,507.28
dwt_1007,1007,3784,0.000528681,295,662.826
dwt_1007,1007,3784,0.000528681,308,676.503
dwt_1007,1007,3784,0.000528681,306,678.227
dwt_1007,1007,3784,0.000528681,315,512.921
dwt_1007,1007,3784,0.000528681,309,508.337
dwt_1007,1007,3784,0.000528681,317,598.674
dwt_1007,1007,3784,0.000528681,297,595.453
dwt_1007,1007,3784,0.000528681,297,616.842
dwt_1007,1007,3784,0.000528681,307,610.037
dwt_1007,1007,3784,0.000528681,294,646.915
dwt_1007,1007,3784,0.000528681,320,595.356
dwt_1007,1007,3784,0.000528681,308,617.78
dwt_1007,1007,3784,0.000528681,300,638.186
dwt_1007,1007,3784,0.000528681,329,629.612
dwt_1007,1007,3784,0.000528681,299,624.433
