graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
dwt__512,512,1495,0.00133869,224,55.7292
dwt__512,512,1495,0.00133869,231,58.473
dwt__512,512,1495,0.00133869,228,49.5662
dwt__512,512,1495,0.00133869,228,40.6018
dwt__512,512,1495,0.00133869,238,57.6458
dwt__512,512,1495,0.00133869,230,32.8255
dwt__512,512,1495,0.00133869,236,43.8112
dwt__512,512,1495,0.00133869,237,49.4029
dwt__512,512,1495,0.00133869,229,39.2851
dwt__512,512,1495,0.00133869,230,49.2875
dwt__512,512,1495,0.00133869,225,36.2434
dwt__512,512,1495,0.00133869,223,49.1028
dwt__512,512,1495,0.00133869,231,28.4665
dwt__512,512,1495,0.00133869,240,39.4441
dwt__512,512,1495,0.00133869,234,73.9189
dwt__512,512,1495,0.00133869,234,41.1333
dwt__512,512,1495,0.00133869,230,39.8321
dwt__512,512,1495,0.00133869,230,52.3082
dwt__512,512,1495,0.00133869,227,37.0878
dwt__512,512,1495,0.00133869,234,41.0246
dwt__512,512,1495,0.00133869,232,53.7368
dwt__512,512,1495,0.00133869,227,37.7175
dwt__512,512,1495,0.00133869,236,39.5098
dwt__512,512,1495,0.00133869,239,40.9547
dwt__512,512,1495,0.00133869,227,76.6684
dwt__512,512,1495,0.00133869,235,57.2912
dwt__512,512,1495,0.00133869,230,54.0034
dwt__512,512,1495,0.00133869,231,37.6095
dwt__512,512,1495,0.00133869,223,54.616
dwt__512,512,1495,0.00133869,229,38.6541
