graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
dwt___59,59,104,0.0194175,29,0.227385
dwt___59,59,104,0.0194175,30,0.182354
dwt___59,59,104,0.0194175,29,0.184217
dwt___59,59,104,0.0194175,29,0.183346
dwt___59,59,104,0.0194175,29,0.355399
dwt___59,59,104,0.0194175,30,0.188247
dwt___59,59,104,0.0194175,29,0.324553
dwt___59,59,104,0.0194175,29,0.384234
dwt___59,59,104,0.0194175,30,0.184689
dwt___59,59,104,0.0194175,30,0.182602
dwt___59,59,104,0.0194175,29,0.224525
dwt___59,59,104,0.0194175,29,0.26302
dwt___59,59,104,0.0194175,30,0.391053
dwt___59,59,104,0.0194175,29,0.31271
dwt___59,59,104,0.0194175,29,0.349828
dwt___59,59,104,0.0194175,29,0.31555
dwt___59,59,104,0.0194175,29,0.239657
dwt___59,59,104,0.0194175,29,0.185716
dwt___59,59,104,0.0194175,30,0.331997
dwt___59,59,104,0.0194175,29,0.33263
dwt___59,59,104,0.0194175,29,0.180608
dwt___59,59,104,0.0194175,29,0.740762
dwt___59,59,104,0.0194175,29,0.183619
dwt___59,59,104,0.0194175,30,0.181001
dwt___59,59,104,0.0194175,29,0.20117
dwt___59,59,104,0.0194175,30,0.205747
dwt___59,59,104,0.0194175,29,0.665386
dwt___59,59,104,0.0194175,29,0.248619
dwt___59,59,104,0.0194175,30,0.174938
dwt___59,59,104,0.0194175,29,0.188574
