graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
lshp1009,1009,2928,0.000683294,429,321.479
lshp1009,1009,2928,0.000683294,427,316.401
lshp1009,1009,2928,0.000683294,417,319.68
lshp1009,1009,2928,0.000683294,423,317.755
lshp1009,1009,2928,0.000683294,430,316.733
lshp1009,1009,2928,0.000683294,418,325.203
lshp1009,1009,2928,0.000683294,432,319.344
lshp1009,1009,2928,0.000683294,414,323.426
lshp1009,1009,2928,0.000683294,423,319.327
lshp1009,1009,2928,0.000683294,429,337.542
lshp1009,1009,2928,0.000683294,428,342.238
lshp1009,1009,2928,0.000683294,442,220.388
lshp1009,1009,2928,0.000683294,433,285.9
lshp1009,1009,2928,0.000683294,427,225.143
lshp1009,1009,2928,0.000683294,428,280.058
lshp1009,1009,2928,0.000683294,423,322.748
lshp1009,1009,2928,0.000683294,418,320.666
lshp1009,1009,2928,0.000683294,416,313.974
lshp1009,1009,2928,0.000683294,428,317.669
lshp1009,1009,2928,0.000683294,411,319.359
lshp1009,1009,2928,0.000683294,416,321.993
lshp1009,1009,2928,0.000683294,431,249.384
lshp1009,1009,2928,0.000683294,432,256.611
lshp1009,1009,2928,0.000683294,432,282.34
lshp1009,1009,2928,0.000683294,425,325.479
lshp1009,1009,2928,0.000683294,423,321.273
lshp1009,1009,2928,0.000683294,422,321.737
lshp1009,1009,2928,0.000683294,407,320.466
lshp1009,1009,2928,0.000683294,428,322.632
lshp1009,1009,2928,0.000683294,413,258.591
