graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
C250.9,250,27984,7.1472e-05,15,27.1644
C250.9,250,27984,7.1472e-05,15,30.7141
C250.9,250,27984,7.1472e-05,15,24.9861
C250.9,250,27984,7.1472e-05,15,30.1647
C250.9,250,27984,7.1472e-05,15,25.1917
C250.9,250,27984,7.1472e-05,15,23.0269
C250.9,250,27984,7.1472e-05,15,22.6504
C250.9,250,27984,7.1472e-05,15,27.2662
C250.9,250,27984,7.1472e-05,15,26.7791
C250.9,250,27984,7.1472e-05,15,25.0147
C250.9,250,27984,7.1472e-05,15,24.315
C250.9,250,27984,7.1472e-05,15,25.1105
C250.9,250,27984,7.1472e-05,15,28.6284
C250.9,250,27984,7.1472e-05,15,31.6614
C250.9,250,27984,7.1472e-05,15,28.3171
C250.9,250,27984,7.1472e-05,15,26.2802
C250.9,250,27984,7.1472e-05,15,25.9527
C250.9,250,27984,7.1472e-05,15,30.2451
C250.9,250,27984,7.1472e-05,15,25.6602
C250.9,250,27984,7.1472e-05,15,32.8311
C250.9,250,27984,7.1472e-05,15,29.9981
C250.9,250,27984,7.1472e-05,15,23.8062
C250.9,250,27984,7.1472e-05,15,25.8679
C250.9,250,27984,7.1472e-05,15,28.7973
C250.9,250,27984,7.1472e-05,15,29.3271
C250.9,250,27984,7.1472e-05,15,24.5379
C250.9,250,27984,7.1472e-05,15,24.7194
C250.9,250,27984,7.1472e-05,15,28.5517
C250.9,250,27984,7.1472e-05,15,24.5413
C250.9,250,27984,7.1472e-05,15,24.8261
