graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
anna,138,493,0.00406504,50,0.852981
anna,138,493,0.00406504,50,0.495416
anna,138,493,0.00406504,50,0.518014
anna,138,493,0.00406504,50,0.917603
anna,138,493,0.00406504,50,1.083
anna,138,493,0.00406504,50,0.892299
anna,138,493,0.00406504,50,0.49515
anna,138,493,0.00406504,50,0.504533
anna,138,493,0.00406504,50,0.494639
anna,138,493,0.00406504,50,0.506809
anna,138,493,0.00406504,50,0.521181
anna,138,493,0.00406504,50,1.0733
anna,138,493,0.00406504,50,0.524269
anna,138,493,0.00406504,50,0.630704
anna,138,493,0.00406504,50,0.531894
anna,138,493,0.00406504,50,0.652134
anna,138,493,0.00406504,50,1.26365
anna,138,493,0.00406504,50,0.828911
anna,138,493,0.00406504,50,1.04338
anna,138,493,0.00406504,50,1.53367
anna,138,493,0.00406504,50,1.41197
anna,138,493,0.00406504,50,0.658382
anna,138,493,0.00406504,50,0.782692
anna,138,493,0.00406504,50,0.814884
anna,138,493,0.00406504,50,0.546419
anna,138,493,0.00406504,50,1.31771
anna,138,493,0.00406504,52,0.609439
anna,138,493,0.00406504,50,0.648317
anna,138,493,0.00406504,50,0.518427
anna,138,493,0.00406504,50,0.659552
