graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
fpsol2.i.1,269,11654,0.00017163,4,3.35741
fpsol2.i.1,269,11654,0.00017163,4,3.7059
fpsol2.i.1,269,11654,0.00017163,4,3.2042
fpsol2.i.1,269,11654,0.00017163,4,6.70212
fpsol2.i.1,269,11654,0.00017163,4,5.30571
fpsol2.i.1,269,11654,0.00017163,4,5.99288
fpsol2.i.1,269,11654,0.00017163,4,2.75186
fpsol2.i.1,269,11654,0.00017163,4,4.03173
fpsol2.i.1,269,11654,0.00017163,4,4.75978
fpsol2.i.1,269,11654,0.00017163,4,3.75003
fpsol2.i.1,269,11654,0.00017163,4,2.91725
fpsol2.i.1,269,11654,0.00017163,4,3.92436
fpsol2.i.1,269,11654,0.00017163,4,3.33483
fpsol2.i.1,269,11654,0.00017163,4,2.95671
fpsol2.i.1,269,11654,0.00017163,4,3.11095
fpsol2.i.1,269,11654,0.00017163,4,3.42992
fpsol2.i.1,269,11654,0.00017163,4,3.98238
fpsol2.i.1,269,11654,0.00017163,4,3.00866
fpsol2.i.1,269,11654,0.00017163,4,3.47091
fpsol2.i.1,269,11654,0.00017163,4,4.5811
fpsol2.i.1,269,11654,0.00017163,4,2.70842
fpsol2.i.1,269,11654,0.00017163,4,3.45815
fpsol2.i.1,269,11654,0.00017163,4,3.25708
fpsol2.i.1,269,11654,0.00017163,4,3.35436
fpsol2.i.1,269,11654,0.00017163,4,3.03475
fpsol2.i.1,269,11654,0.00017163,4,3.30789
fpsol2.i.1,269,11654,0.00017163,4,3.69223
fpsol2.i.1,269,11654,0.00017163,4,2.8087
fpsol2.i.1,269,11654,0.00017163,4,3.07321
fpsol2.i.1,269,11654,0.00017163,4,3.11419
