graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
hamming6-4,64,704,0.00284495,24,0.193699
hamming6-4,64,704,0.00284495,24,0.115948
hamming6-4,64,704,0.00284495,24,0.360806
hamming6-4,64,704,0.00284495,24,0.152264
hamming6-4,64,704,0.00284495,24,0.202037
hamming6-4,64,704,0.00284495,24,0.137882
hamming6-4,64,704,0.00284495,24,0.136468
hamming6-4,64,704,0.00284495,24,0.130755
hamming6-4,64,704,0.00284495,24,0.184203
hamming6-4,64,704,0.00284495,24,0.11626
hamming6-4,64,704,0.00284495,24,0.177123
hamming6-4,64,704,0.00284495,24,0.114658
hamming6-4,64,704,0.00284495,24,0.366467
hamming6-4,64,704,0.00284495,24,0.11353
hamming6-4,64,704,0.00284495,24,0.328587
hamming6-4,64,704,0.00284495,24,0.217231
hamming6-4,64,704,0.00284495,24,0.415871
hamming6-4,64,704,0.00284495,24,0.296808
hamming6-4,64,704,0.00284495,24,0.128302
hamming6-4,64,704,0.00284495,24,0.410374
hamming6-4,64,704,0.00284495,24,0.243136
hamming6-4,64,704,0.00284495,24,0.137928
hamming6-4,64,704,0.00284495,24,0.12376
hamming6-4,64,704,0.00284495,24,0.116586
hamming6-4,64,704,0.00284495,24,0.120267
hamming6-4,64,704,0.00284495,24,0.123072
hamming6-4,64,704,0.00284495,24,0.333819
hamming6-4,64,704,0.00284495,24,0.154307
hamming6-4,64,704,0.00284495,24,0.11213
hamming6-4,64,704,0.00284495,24,0.232226
