graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
homer,556,1628,0.00122926,272,24.927
homer,556,1628,0.00122926,270,25.827
homer,556,1628,0.00122926,272,20.5703
homer,556,1628,0.00122926,270,21.4515
homer,556,1628,0.00122926,274,23.9062
homer,556,1628,0.00122926,272,27.261
homer,556,1628,0.00122926,271,24.8397
homer,556,1628,0.00122926,270,41.1564
homer,556,1628,0.00122926,272,19.0738
homer,556,1628,0.00122926,270,35.4675
homer,556,1628,0.00122926,272,22.5761
homer,556,1628,0.00122926,270,48.9004
homer,556,1628,0.00122926,272,34.0347
homer,556,1628,0.00122926,272,28.294
homer,556,1628,0.00122926,270,34.3552
homer,556,1628,0.00122926,272,28.4147
homer,556,1628,0.00122926,270,50.9054
homer,556,1628,0.00122926,270,35.3276
homer,556,1628,0.00122926,272,24.4072
homer,556,1628,0.00122926,270,24.2095
homer,556,1628,0.00122926,270,30.6428
homer,556,1628,0.00122926,270,25.7072
homer,556,1628,0.00122926,270,36.2383
homer,556,1628,0.00122926,272,34.4723
homer,556,1628,0.00122926,270,34.8337
homer,556,1628,0.00122926,270,23.5701
homer,556,1628,0.00122926,270,20.5767
homer,556,1628,0.00122926,270,11.6635
homer,556,1628,0.00122926,270,12.6966
homer,556,1628,0.00122926,272,12.4105
