graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
jean,77,254,0.00790514,31,0.302714
jean,77,254,0.00790514,31,0.302818
jean,77,254,0.00790514,31,0.365908
jean,77,254,0.00790514,31,0.286141
jean,77,254,0.00790514,31,0.37599
jean,77,254,0.00790514,31,0.362667
jean,77,254,0.00790514,31,0.479302
jean,77,254,0.00790514,31,0.346789
jean,77,254,0.00790514,31,0.296574
jean,77,254,0.00790514,31,0.312238
jean,77,254,0.00790514,31,0.625749
jean,77,254,0.00790514,31,0.37311
jean,77,254,0.00790514,31,0.346084
jean,77,254,0.00790514,31,0.361213
jean,77,254,0.00790514,31,0.299025
jean,77,254,0.00790514,31,0.289356
jean,77,254,0.00790514,31,0.306527
jean,77,254,0.00790514,31,0.311294
jean,77,254,0.00790514,31,0.304044
jean,77,254,0.00790514,31,0.29884
jean,77,254,0.00790514,31,0.293998
jean,77,254,0.00790514,31,0.364417
jean,77,254,0.00790514,31,0.296228
jean,77,254,0.00790514,31,0.398187
jean,77,254,0.00790514,31,0.290791
jean,77,254,0.00790514,31,0.2839
jean,77,254,0.00790514,31,0.360698
jean,77,254,0.00790514,31,0.359119
jean,77,254,0.00790514,31,0.308319
jean,77,254,0.00790514,31,0.298358
