graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
le450_15d,450,16750,0.00011941,252,18.5537
le450_15d,450,16750,0.00011941,271,11.9691
le450_15d,450,16750,0.00011941,263,10.9948
le450_15d,450,16750,0.00011941,254,9.28948
le450_15d,450,16750,0.00011941,268,12.1878
le450_15d,450,16750,0.00011941,270,9.21239
le450_15d,450,16750,0.00011941,268,9.57994
le450_15d,450,16750,0.00011941,256,14.0384
le450_15d,450,16750,0.00011941,245,23.9746
le450_15d,450,16750,0.00011941,250,9.96912
le450_15d,450,16750,0.00011941,268,11.8186
le450_15d,450,16750,0.00011941,265,14.958
le450_15d,450,16750,0.00011941,257,11.2922
le450_15d,450,16750,0.00011941,251,13.8552
le450_15d,450,16750,0.00011941,242,16.9337
le450_15d,450,16750,0.00011941,264,10.4254
le450_15d,450,16750,0.00011941,269,11.6408
le450_15d,450,16750,0.00011941,270,24.3083
le450_15d,450,16750,0.00011941,250,25.2221
le450_15d,450,16750,0.00011941,276,23.6197
le450_15d,450,16750,0.00011941,264,10.7026
le450_15d,450,16750,0.00011941,253,9.36883
le450_15d,450,16750,0.00011941,255,11.4783
le450_15d,450,16750,0.00011941,259,10.1734
le450_15d,450,16750,0.00011941,250,10.2204
le450_15d,450,16750,0.00011941,252,15.1772
le450_15d,450,16750,0.00011941,268,25.1939
le450_15d,450,16750,0.00011941,251,17.7756
le450_15d,450,16750,0.00011941,254,12.7775
le450_15d,450,16750,0.00011941,259,14.9601
