graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
bcsstk19,817,3018,0.00066291,308,236.993
bcsstk19,817,3018,0.00066291,308,235.029
bcsstk19,817,3018,0.00066291,313,222.684
bcsstk19,817,3018,0.00066291,305,234.106
bcsstk19,817,3018,0.00066291,308,230.294
bcsstk19,817,3018,0.00066291,307,218.191
bcsstk19,817,3018,0.00066291,316,180.425
bcsstk19,817,3018,0.00066291,308,152.141
bcsstk19,817,3018,0.00066291,305,233.254
bcsstk19,817,3018,0.00066291,310,183.45
bcsstk19,817,3018,0.00066291,309,211.362
bcsstk19,817,3018,0.00066291,303,235.129
bcsstk19,817,3018,0.00066291,309,230.932
bcsstk19,817,3018,0.00066291,311,226.7
bcsstk19,817,3018,0.00066291,305,235.925
bcsstk19,817,3018,0.00066291,309,234.639
bcsstk19,817,3018,0.00066291,305,240.587
bcsstk19,817,3018,0.00066291,304,237.925
bcsstk19,817,3018,0.00066291,310,231.909
bcsstk19,817,3018,0.00066291,315,140.761
bcsstk19,817,3018,0.00066291,305,231.992
bcsstk19,817,3018,0.00066291,302,215.087
bcsstk19,817,3018,0.00066291,309,190.548
bcsstk19,817,3018,0.00066291,309,232.062
bcsstk19,817,3018,0.00066291,303,220.905
bcsstk19,817,3018,0.00066291,312,233.169
bcsstk19,817,3018,0.00066291,303,234.701
bcsstk19,817,3018,0.00066291,314,241.884
bcsstk19,817,3018,0.00066291,307,236.552
bcsstk19,817,3018,0.00066291,308,188.496
