graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
bfw398b,398,1256,0.00159363,188,17.294
bfw398b,398,1256,0.00159363,190,19.9762
bfw398b,398,1256,0.00159363,191,18.1284
bfw398b,398,1256,0.00159363,187,17.8613
bfw398b,398,1256,0.00159363,187,20.1171
bfw398b,398,1256,0.00159363,186,19.5486
bfw398b,398,1256,0.00159363,192,13.9903
bfw398b,398,1256,0.00159363,190,21.0482
bfw398b,398,1256,0.00159363,186,18.931
bfw398b,398,1256,0.00159363,185,15.6338
bfw398b,398,1256,0.00159363,190,14.472
bfw398b,398,1256,0.00159363,190,13.2395
bfw398b,398,1256,0.00159363,182,17.3037
bfw398b,398,1256,0.00159363,186,21.3851
bfw398b,398,1256,0.00159363,183,20.017
bfw398b,398,1256,0.00159363,190,16.5561
bfw398b,398,1256,0.00159363,194,16.3355
bfw398b,398,1256,0.00159363,193,17.2843
bfw398b,398,1256,0.00159363,187,22.7347
bfw398b,398,1256,0.00159363,187,14.3246
bfw398b,398,1256,0.00159363,190,14.5335
bfw398b,398,1256,0.00159363,190,14.5134
bfw398b,398,1256,0.00159363,187,13.8272
bfw398b,398,1256,0.00159363,186,17.0181
bfw398b,398,1256,0.00159363,191,19.5766
bfw398b,398,1256,0.00159363,191,19.1565
bfw398b,398,1256,0.00159363,189,16.8137
bfw398b,398,1256,0.00159363,187,20.8399
bfw398b,398,1256,0.00159363,186,18.1537
bfw398b,398,1256,0.00159363,191,22.301
