graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can_1072,1072,5686,0.000351803,412,176.513
can_1072,1072,5686,0.000351803,399,182.868
can_1072,1072,5686,0.000351803,405,187.889
can_1072,1072,5686,0.000351803,395,167.625
can_1072,1072,5686,0.000351803,408,187.126
can_1072,1072,5686,0.000351803,411,183.414
can_1072,1072,5686,0.000351803,413,177.528
can_1072,1072,5686,0.000351803,405,180.395
can_1072,1072,5686,0.000351803,412,184.999
can_1072,1072,5686,0.000351803,402,179.709
can_1072,1072,5686,0.000351803,405,189.616
can_1072,1072,5686,0.000351803,409,187.921
can_1072,1072,5686,0.000351803,396,174.371
can_1072,1072,5686,0.000351803,400,174.974
can_1072,1072,5686,0.000351803,406,176.519
can_1072,1072,5686,0.000351803,414,192.917
can_1072,1072,5686,0.000351803,406,177.945
can_1072,1072,5686,0.000351803,415,173.404
can_1072,1072,5686,0.000351803,399,164.665
can_1072,1072,5686,0.000351803,400,172.18
can_1072,1072,5686,0.000351803,395,169.562
can_1072,1072,5686,0.000351803,405,177.786
can_1072,1072,5686,0.000351803,407,171.341
can_1072,1072,5686,0.000351803,409,165.726
can_1072,1072,5686,0.000351803,398,169.438
can_1072,1072,5686,0.000351803,406,174.682
can_1072,1072,5686,0.000351803,401,179.626
can_1072,1072,5686,0.000351803,414,174.01
can_1072,1072,5686,0.000351803,400,175.962
can_1072,1072,5686,0.000351803,399,183.282
