graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can__715,715,2975,0.000672495,199,45.7513
can__715,715,2975,0.000672495,200,32.2349
can__715,715,2975,0.000672495,200,30.5996
can__715,715,2975,0.000672495,201,51.4065
can__715,715,2975,0.000672495,198,42.4353
can__715,715,2975,0.000672495,200,55.0492
can__715,715,2975,0.000672495,198,70.2053
can__715,715,2975,0.000672495,200,49.0205
can__715,715,2975,0.000672495,197,67.7862
can__715,715,2975,0.000672495,201,54.6102
can__715,715,2975,0.000672495,201,71.1916
can__715,715,2975,0.000672495,205,52.0172
can__715,715,2975,0.000672495,206,47.2493
can__715,715,2975,0.000672495,200,58.9153
can__715,715,2975,0.000672495,206,62.281
can__715,715,2975,0.000672495,201,65.9761
can__715,715,2975,0.000672495,200,56.3456
can__715,715,2975,0.000672495,202,73.5529
can__715,715,2975,0.000672495,198,69.163
can__715,715,2975,0.000672495,199,58.5676
can__715,715,2975,0.000672495,198,53.4207
can__715,715,2975,0.000672495,199,72.094
can__715,715,2975,0.000672495,199,76.6085
can__715,715,2975,0.000672495,202,59.3314
can__715,715,2975,0.000672495,200,52.7841
can__715,715,2975,0.000672495,199,67.9729
can__715,715,2975,0.000672495,198,71.6001
can__715,715,2975,0.000672495,201,52.6644
can__715,715,2975,0.000672495,200,53.7862
can__715,715,2975,0.000672495,200,53.4033
