graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
can___73,73,152,0.013245,36,0.144651
can___73,73,152,0.013245,35,0.160416
can___73,73,152,0.013245,35,0.163338
can___73,73,152,0.013245,36,0.202218
can___73,73,152,0.013245,36,0.215637
can___73,73,152,0.013245,36,0.177029
can___73,73,152,0.013245,36,0.152272
can___73,73,152,0.013245,36,0.143771
can___73,73,152,0.013245,36,0.15046
can___73,73,152,0.013245,35,0.247244
can___73,73,152,0.013245,36,0.160092
can___73,73,152,0.013245,35,0.279363
can___73,73,152,0.013245,36,0.145699
can___73,73,152,0.013245,36,0.158182
can___73,73,152,0.013245,38,0.143136
can___73,73,152,0.013245,35,0.153493
can___73,73,152,0.013245,36,0.311002
can___73,73,152,0.013245,35,0.273079
can___73,73,152,0.013245,35,0.247041
can___73,73,152,0.013245,36,0.186782
can___73,73,152,0.013245,38,0.150611
can___73,73,152,0.013245,38,0.145943
can___73,73,152,0.013245,36,0.161058
can___73,73,152,0.013245,35,0.26135
can___73,73,152,0.013245,36,0.23037
can___73,73,152,0.013245,35,0.146727
can___73,73,152,0.013245,36,0.336062
can___73,73,152,0.013245,36,0.151288
can___73,73,152,0.013245,35,0.255452
can___73,73,152,0.013245,36,0.267745
