graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
dwt__310,310,1069,0.00187266,100,12.1705
dwt__310,310,1069,0.00187266,103,10.1175
dwt__310,310,1069,0.00187266,92,9.41501
dwt__310,310,1069,0.00187266,99,12.1503
dwt__310,310,1069,0.00187266,101,5.50376
dwt__310,310,1069,0.00187266,103,8.04986
dwt__310,310,1069,0.00187266,97,14.0056
dwt__310,310,1069,0.00187266,103,6.5056
dwt__310,310,1069,0.00187266,102,7.72383
dwt__310,310,1069,0.00187266,97,5.00493
dwt__310,310,1069,0.00187266,96,9.93493
dwt__310,310,1069,0.00187266,92,10.9743
dwt__310,310,1069,0.00187266,103,4.65715
dwt__310,310,1069,0.00187266,94,9.3248
dwt__310,310,1069,0.00187266,98,11.9711
dwt__310,310,1069,0.00187266,99,11.7239
dwt__310,310,1069,0.00187266,101,10.5418
dwt__310,310,1069,0.00187266,103,5.71657
dwt__310,310,1069,0.00187266,100,8.07892
dwt__310,310,1069,0.00187266,96,11.267
dwt__310,310,1069,0.00187266,92,6.52575
dwt__310,310,1069,0.00187266,96,10.4373
dwt__310,310,1069,0.00187266,97,12.5339
dwt__310,310,1069,0.00187266,96,12.9092
dwt__310,310,1069,0.00187266,101,5.73374
dwt__310,310,1069,0.00187266,93,10.5722
dwt__310,310,1069,0.00187266,100,10.1392
dwt__310,310,1069,0.00187266,98,8.22619
dwt__310,310,1069,0.00187266,97,6.75684
dwt__310,310,1069,0.00187266,97,8.1311
