graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
dwt___87,87,227,0.00884956,35,0.311079
dwt___87,87,227,0.00884956,37,0.341621
dwt___87,87,227,0.00884956,39,0.250105
dwt___87,87,227,0.00884956,37,0.208561
dwt___87,87,227,0.00884956,37,0.242938
dwt___87,87,227,0.00884956,39,0.214964
dwt___87,87,227,0.00884956,35,0.356093
dwt___87,87,227,0.00884956,35,0.230232
dwt___87,87,227,0.00884956,37,0.288494
dwt___87,87,227,0.00884956,37,0.278268
dwt___87,87,227,0.00884956,38,0.234485
dwt___87,87,227,0.00884956,37,0.233319
dwt___87,87,227,0.00884956,39,0.229431
dwt___87,87,227,0.00884956,37,0.49757
dwt___87,87,227,0.00884956,35,0.495168
dwt___87,87,227,0.00884956,35,0.538453
dwt___87,87,227,0.00884956,40,0.292587
dwt___87,87,227,0.00884956,37,0.31131
dwt___87,87,227,0.00884956,38,0.222941
dwt___87,87,227,0.00884956,37,0.225405
dwt___87,87,227,0.00884956,40,0.222599
dwt___87,87,227,0.00884956,35,0.281929
dwt___87,87,227,0.00884956,42,0.310785
dwt___87,87,227,0.00884956,39,0.221279
dwt___87,87,227,0.00884956,39,0.300644
dwt___87,87,227,0.00884956,38,0.376041
dwt___87,87,227,0.00884956,35,0.427125
dwt___87,87,227,0.00884956,37,0.304797
dwt___87,87,227,0.00884956,35,0.36439
dwt___87,87,227,0.00884956,38,0.29532
