graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
eris1176,1176,8688,0.000230229,509,208.368
eris1176,1176,8688,0.000230229,509,202.729
eris1176,1176,8688,0.000230229,506,202.338
eris1176,1176,8688,0.000230229,510,209.927
eris1176,1176,8688,0.000230229,507,206.939
eris1176,1176,8688,0.000230229,507,217.561
eris1176,1176,8688,0.000230229,504,203.277
eris1176,1176,8688,0.000230229,505,208.798
eris1176,1176,8688,0.000230229,505,203.546
eris1176,1176,8688,0.000230229,503,199.932
eris1176,1176,8688,0.000230229,508,204.505
eris1176,1176,8688,0.000230229,507,201.852
eris1176,1176,8688,0.000230229,509,225.117
eris1176,1176,8688,0.000230229,504,208.259
eris1176,1176,8688,0.000230229,503,209.172
eris1176,1176,8688,0.000230229,507,207.511
eris1176,1176,8688,0.000230229,506,207.453
eris1176,1176,8688,0.000230229,507,200.24
eris1176,1176,8688,0.000230229,507,226.297
eris1176,1176,8688,0.000230229,509,202.34
eris1176,1176,8688,0.000230229,509,196.575
eris1176,1176,8688,0.000230229,510,205.359
eris1176,1176,8688,0.000230229,503,204.45
eris1176,1176,8688,0.000230229,505,201.935
eris1176,1176,8688,0.000230229,506,203.278
eris1176,1176,8688,0.000230229,504,205.936
eris1176,1176,8688,0.000230229,503,207.066
eris1176,1176,8688,0.000230229,508,207.171
eris1176,1176,8688,0.000230229,509,205.147
eris1176,1176,8688,0.000230229,504,210.751
