graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
jagmesh6,1377,3808,0.000525348,649,266.226
jagmesh6,1377,3808,0.000525348,648,262.89
jagmesh6,1377,3808,0.000525348,651,274.878
jagmesh6,1377,3808,0.000525348,647,253.748
jagmesh6,1377,3808,0.000525348,649,272.276
jagmesh6,1377,3808,0.000525348,659,290.407
jagmesh6,1377,3808,0.000525348,657,264.809
jagmesh6,1377,3808,0.000525348,647,269.894
jagmesh6,1377,3808,0.000525348,636,275.12
jagmesh6,1377,3808,0.000525348,654,272.482
jagmesh6,1377,3808,0.000525348,646,264.769
jagmesh6,1377,3808,0.000525348,651,270.416
jagmesh6,1377,3808,0.000525348,647,272.259
jagmesh6,1377,3808,0.000525348,651,272.131
jagmesh6,1377,3808,0.000525348,639,317.269
jagmesh6,1377,3808,0.000525348,667,333.81
jagmesh6,1377,3808,0.000525348,649,327.403
jagmesh6,1377,3808,0.000525348,653,330.383
jagmesh6,1377,3808,0.000525348,644,325.789
jagmesh6,1377,3808,0.000525348,662,319.916
jagmesh6,1377,3808,0.000525348,655,338.249
jagmesh6,1377,3808,0.000525348,652,333.31
jagmesh6,1377,3808,0.000525348,653,342.071
jagmesh6,1377,3808,0.000525348,646,339.115
jagmesh6,1377,3808,0.000525348,660,337.667
jagmesh6,1377,3808,0.000525348,653,346.978
jagmesh6,1377,3808,0.000525348,654,340.736
jagmesh6,1377,3808,0.000525348,650,327.025
jagmesh6,1377,3808,0.000525348,641,335.471
jagmesh6,1377,3808,0.000525348,646,341.068
