graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
lshp_577,577,1656,0.00120846,228,21.9777
lshp_577,577,1656,0.00120846,222,21.7895
lshp_577,577,1656,0.00120846,223,21.6082
lshp_577,577,1656,0.00120846,225,22.0315
lshp_577,577,1656,0.00120846,220,19.5076
lshp_577,577,1656,0.00120846,232,21.9168
lshp_577,577,1656,0.00120846,227,22.4176
lshp_577,577,1656,0.00120846,221,21.642
lshp_577,577,1656,0.00120846,230,21.8549
lshp_577,577,1656,0.00120846,218,21.6201
lshp_577,577,1656,0.00120846,231,21.7357
lshp_577,577,1656,0.00120846,221,21.8258
lshp_577,577,1656,0.00120846,226,21.8313
lshp_577,577,1656,0.00120846,230,21.672
lshp_577,577,1656,0.00120846,237,22.1591
lshp_577,577,1656,0.00120846,228,22.2943
lshp_577,577,1656,0.00120846,231,21.7351
lshp_577,577,1656,0.00120846,231,21.7193
lshp_577,577,1656,0.00120846,222,21.7178
lshp_577,577,1656,0.00120846,219,21.816
lshp_577,577,1656,0.00120846,218,21.6611
lshp_577,577,1656,0.00120846,225,21.9768
lshp_577,577,1656,0.00120846,228,21.6228
lshp_577,577,1656,0.00120846,226,22.1804
lshp_577,577,1656,0.00120846,222,22.1408
lshp_577,577,1656,0.00120846,224,22.2405
lshp_577,577,1656,0.00120846,230,22.0531
lshp_577,577,1656,0.00120846,229,21.5134
lshp_577,577,1656,0.00120846,227,22.0917
lshp_577,577,1656,0.00120846,218,21.8969
