graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
plskz362,362,880,0.00227531,161,15.0502
plskz362,362,880,0.00227531,157,18.7603
plskz362,362,880,0.00227531,155,30.1494
plskz362,362,880,0.00227531,163,26.5912
plskz362,362,880,0.00227531,158,21.4606
plskz362,362,880,0.00227531,158,13.9013
plskz362,362,880,0.00227531,163,16.0899
plskz362,362,880,0.00227531,162,25.6057
plskz362,362,880,0.00227531,156,23.5273
plskz362,362,880,0.00227531,157,27.2879
plskz362,362,880,0.00227531,153,19.7947
plskz362,362,880,0.00227531,159,12.8816
plskz362,362,880,0.00227531,160,16.7294
plskz362,362,880,0.00227531,150,23.1767
plskz362,362,880,0.00227531,163,28.4634
plskz362,362,880,0.00227531,163,16.3314
plskz362,362,880,0.00227531,158,25.5644
plskz362,362,880,0.00227531,162,17.1264
plskz362,362,880,0.00227531,158,21.7907
plskz362,362,880,0.00227531,154,17.8081
plskz362,362,880,0.00227531,162,13.975
plskz362,362,880,0.00227531,159,17.3576
plskz362,362,880,0.00227531,162,20.0127
plskz362,362,880,0.00227531,159,17.282
plskz362,362,880,0.00227531,161,14.0933
plskz362,362,880,0.00227531,156,16.6976
plskz362,362,880,0.00227531,154,20.3092
plskz362,362,880,0.00227531,162,15.5619
plskz362,362,880,0.00227531,157,25.054
plskz362,362,880,0.00227531,155,21.8577
