graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
sherman1,1000,1375,0.0014556,663,113.872
sherman1,1000,1375,0.0014556,671,115.899
sherman1,1000,1375,0.0014556,662,111.553
sherman1,1000,1375,0.0014556,661,113.105
sherman1,1000,1375,0.0014556,669,98.9005
sherman1,1000,1375,0.0014556,670,119.13
sherman1,1000,1375,0.0014556,661,107.144
sherman1,1000,1375,0.0014556,656,145.376
sherman1,1000,1375,0.0014556,661,135.343
sherman1,1000,1375,0.0014556,662,135.553
sherman1,1000,1375,0.0014556,667,133.138
sherman1,1000,1375,0.0014556,662,135.065
sherman1,1000,1375,0.0014556,666,141.985
sherman1,1000,1375,0.0014556,667,141.662
sherman1,1000,1375,0.0014556,665,127.004
sherman1,1000,1375,0.0014556,665,135.891
sherman1,1000,1375,0.0014556,663,133.272
sherman1,1000,1375,0.0014556,664,132.409
sherman1,1000,1375,0.0014556,670,130.957
sherman1,1000,1375,0.0014556,667,130.903
sherman1,1000,1375,0.0014556,658,134.629
sherman1,1000,1375,0.0014556,666,127.158
sherman1,1000,1375,0.0014556,672,123.757
sherman1,1000,1375,0.0014556,669,130.246
sherman1,1000,1375,0.0014556,670,130.875
sherman1,1000,1375,0.0014556,663,132.633
sherman1,1000,1375,0.0014556,666,131.161
sherman1,1000,1375,0.0014556,668,139.776
sherman1,1000,1375,0.0014556,671,135.141
sherman1,1000,1375,0.0014556,670,135.224
