graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
will199,199,660,0.0030349,86,1.41937
will199,199,660,0.0030349,93,1.58104
will199,199,660,0.0030349,93,1.18875
will199,199,660,0.0030349,91,2.3159
will199,199,660,0.0030349,81,3.01303
will199,199,660,0.0030349,84,2.80122
will199,199,660,0.0030349,90,3.26079
will199,199,660,0.0030349,87,2.39928
will199,199,660,0.0030349,82,2.65795
will199,199,660,0.0030349,91,1.61347
will199,199,660,0.0030349,92,2.09307
will199,199,660,0.0030349,86,2.12295
will199,199,660,0.0030349,90,1.59988
will199,199,660,0.0030349,88,1.6021
will199,199,660,0.0030349,88,2.11933
will199,199,660,0.0030349,90,2.00239
will199,199,660,0.0030349,90,1.81747
will199,199,660,0.0030349,86,1.64652
will199,199,660,0.0030349,88,2.10307
will199,199,660,0.0030349,85,1.49249
will199,199,660,0.0030349,92,2.55135
will199,199,660,0.0030349,93,1.64096
will199,199,660,0.0030349,88,3.06234
will199,199,660,0.0030349,91,1.3896
will199,199,660,0.0030349,85,1.84572
will199,199,660,0.0030349,84,1.9968
will199,199,660,0.0030349,83,3.52464
will199,199,660,0.0030349,82,3.18487
will199,199,660,0.0030349,89,1.89137
will199,199,660,0.0030349,84,2.60154
