arquivo,n_vertices,n_arestas,densidade
san200_0.7_1.txt,200,13930,0.7
brock800_4.txt,800,207643,0.6496964956195244
le450_25a.txt,450,8260,0.08176194011383321
miles750.txt,128,2113,0.2599655511811024
p_hat500-3.txt,500,93800,0.7519038076152305
brock800_1.txt,800,207505,0.649264705882353
brock800_2.txt,800,208166,0.6513329161451815
queen14_14.txt,196,4186,0.21904761904761905
brock800_3.txt,800,207333,0.6487265331664581
p_hat500-1.txt,500,31569,0.25305811623246494
san400_0.7_1.txt,400,55860,0.7
DSJC250.1.txt,250,3218,0.10338955823293172
anna.txt,138,493,0.05215275573891886
c-fat500-1.txt,500,4459,0.03574348697394789
san400_0.7_2.txt,400,55860,0.7
hamming6-4.txt,64,704,0.3492063492063492
brock200_4.txt,200,13089,0.6577386934673367
c-fat500-2.txt,500,9139,0.07325851703406813
san400_0.7_3.txt,400,55860,0.7
le450_15d.txt,450,16750,0.1658005444196981
gen400_p0.9_55.txt,400,71820,0.9
queen10_10.txt,100,1470,0.296969696969697
miles250.txt,125,387,0.049935483870967745
hamming6-2.txt,64,1824,0.9047619047619048
johnson8-4-4.txt,70,1855,0.7681159420289855
DSJC125.9.txt,125,6961,0.8981935483870968
brock200_3.txt,200,12048,0.605427135678392
c-fat500-5.txt,500,23191,0.1858997995991984
DSJC250.5.txt,250,15668,0.5033895582329317
p_hat300-2.txt,300,21928,0.4889186176142698
mulsol.i.1.txt,138,3925,0.41521210197820796
le450_5d.txt,450,9757,0.0965800544419698
school1_nsh.txt,352,14612,0.23653198653198654
homer.txt,556,1628,0.010551558752997603
gen200_p0.9_44.txt,200,17910,0.9
mulsol.i.2.txt,173,3885,0.2611238069633015
myciel7.txt,191,2360,0.13006337834114082
hamming8-2.txt,256,31616,0.9686274509803922
myciel6.txt,95,755,0.1690929451287794
school1.txt,385,19095,0.2583198051948052
san400_0.9_1.txt,400,71820,0.9
miles500.txt,128,1170,0.14394685039370078
le450_5b.txt,450,5734,0.0567582281613462
c-fat500-10.txt,500,46627,0.3737635270541082
gen400_p0.9_75.txt,400,71820,0.9
DSJR500.1c.txt,500,121275,0.9721442885771543
myciel3.txt,11,20,0.36363636363636365
le450_5c.txt,450,9803,0.09703538728037614
mulsol.i.4.txt,175,3946,0.25917898193760264
le450_5a.txt,450,5714,0.056560257362039096
DSJC125.1.txt,125,736,0.09496774193548387
gen200_p0.9_55.txt,200,17910,0.9
queen8_8.txt,64,728,0.3611111111111111
mulsol.i.5.txt,176,3973,0.257987012987013
DSJC500_5.txt,500,62624,0.5019959919839679
fpsol2.i.1.txt,269,11654,0.3233091050324585
inithx.i.1.txt,519,18707,0.13916724321348597
DSJR500.1.txt,500,3555,0.028496993987975953
queen13_13.txt,169,3328,0.23443223443223443
brock400_3.txt,400,59681,0.7478822055137845
inithx.i.2.txt,558,13979,0.08995321840633708
sanr200_0.7.txt,200,13868,0.6968844221105528
brock400_2.txt,400,59786,0.7491979949874686
fpsol2.i.3.txt,363,8688,0.1322314049586777
c-fat200-5.txt,200,8473,0.42577889447236184
DSJC500.9.txt,500,112437,0.9012985971943888
queen7_7.txt,49,476,0.40476190476190477
zeroin.i.1.txt,126,4100,0.5206349206349207
sanr400_0.5.txt,400,39984,0.5010526315789474
sanr400_0.7.txt,400,55869,0.7001127819548872
johnson16-2-4.txt,120,5460,0.7647058823529411
san200_0.9_3.txt,200,17910,0.9
san200_0.9_2.txt,200,17910,0.9
zeroin.i.2.txt,157,3541,0.28915564265882737
queen11_11.txt,121,1980,0.2727272727272727
