arquivo,n_vertices,n_arestas,densidade
dwt__758.txt,758,2618,0.009125035290673154
jagmesh8.txt,1141,3162,0.004861847871211772
dwt__162.txt,162,510,0.039107430411778235
dwt__361.txt,361,1296,0.019944598337950138
jagmesh9.txt,1349,3876,0.004262966523174656
nos2.txt,957,1590,0.003475820096798311
will199.txt,199,660,0.03350083752093802
dwt__607.txt,607,2262,0.012298758706183634
nos1.txt,237,390,0.01394550525638275
lshp1270.txt,1270,3699,0.004590383648852404
nos5.txt,468,2352,0.02152308790424422
dwt___87.txt,87,227,0.060678962844159315
can___24.txt,24,68,0.2463768115942029
ash292.txt,292,958,0.0225486042461046
nos4.txt,100,247,0.0498989898989899
can__715.txt,715,2975,0.011655011655011656
bfw62b.txt,62,140,0.074034902168165
662_bus.txt,662,906,0.004140938155591409
dwt__198.txt,198,597,0.030610675280726043
can_1072.txt,1072,5686,0.009904957007678693
nos7.txt,729,1944,0.007326007326007326
can__161.txt,161,608,0.04720496894409938
bcsstk04.txt,132,1758,0.20333102012491325
bcsstk10.txt,1086,10492,0.017808556322190257
dwt__869.txt,869,3208,0.008505989722812916
can___96.txt,96,336,0.07368421052631578
bcsstk05.txt,153,1135,0.097609219126247
gr_30_30.txt,900,3422,0.00845878136200717
bcsstk06.txt,420,3720,0.04227753153767474
1138_bus.txt,1138,1458,0.0022536413000635285
can__229.txt,229,774,0.029648356699609284
sherman1.txt,1000,1375,0.0027527527527527527
dwt__503.txt,503,2762,0.021876707880208787
lund_a.txt,147,1151,0.10725934209300159
dwt__310.txt,310,1069,0.022319657584298987
bcsstm07.txt,420,3416,0.03882259347653142
lund_b.txt,147,1147,0.10688659025253937
dwt__878.txt,878,3285,0.008532401046225614
lshp_577.txt,577,1656,0.00996533795493934
bcspwr02.txt,49,59,0.050170068027210885
dwt_1242.txt,1242,4592,0.005958521321307294
young1c.txt,841,1624,0.004597701149425287
can___61.txt,61,248,0.1355191256830601
dwt__492.txt,492,1332,0.011027768118821718
bcspwr03.txt,118,179,0.025930754744314066
bcspwr01.txt,39,46,0.0620782726045884
can___62.txt,62,78,0.041248016922263354
bcspwr04.txt,274,669,0.01788722226678431
can___73.txt,73,152,0.0578386605783866
dwt__245.txt,245,608,0.0203412512546002
can__838.txt,838,4586,0.013076591874035865
bcsstk20.txt,485,1325,0.011289085797052057
bcsstk09.txt,1083,8677,0.014809618657013192
bcsstm27.txt,1224,27451,0.03667585867816737
dwt__209.txt,209,767,0.035287081339712915
jagmesh1.txt,936,2664,0.006088029617441382
dwt__234.txt,234,300,0.011004732034774953
can__268.txt,268,1407,0.03932584269662921
bfw398b.txt,398,1256,0.015898130450742377
jagmesh2.txt,1009,2928,0.005757704469300109
494_bus.txt,494,586,0.004812311634132922
can_1054.txt,1054,5571,0.010039085940414213
dwt__419.txt,419,1572,0.017951148211165797
dwt__592.txt,592,2256,0.012896144875840307
jagmesh3.txt,1089,3136,0.005293577486090855
eris1176.txt,1176,8688,0.01257490230134607
ash85.txt,85,219,0.06134453781512605
jagmesh7.txt,1138,3156,0.004878252361454387
dwt___59.txt,59,104,0.06078316773816481
dwt__346.txt,346,1440,0.02412666499120382
jagmesh6.txt,1377,3808,0.004019523399368361
dwt___66.txt,66,127,0.05920745920745921
dwt___72.txt,72,75,0.029342723004694836
jagmesh5.txt,1180,3285,0.004722473799974123
can__292.txt,292,1124,0.02645577366661959
