arquivo,n_vertices,n_arestas,densidade
bcspwr04.txt,274,669,0.01788722226678431
dwt__512.txt,512,1495,0.011428265655577299
can___24.txt,24,68,0.2463768115942029
ash85.txt,85,219,0.06134453781512605
can__268.txt,268,1407,0.03932584269662921
685_bus.txt,685,1282,0.005472318265249498
bcsstk21.txt,3600,11500,0.0017751844648204748
662_bus.txt,662,906,0.004140938155591409
dwt__346.txt,346,1440,0.02412666499120382
bcsstk23.txt,3134,21022,0.004281980058300273
lshp3025.txt,3025,8904,0.0019467401285583105
nos1.txt,237,390,0.01394550525638275
bcsstk19.txt,817,3018,0.00905392756857945
bcspwr01.txt,39,46,0.0620782726045884
can__187.txt,187,652,0.037490656086481514
can__256.txt,256,1330,0.040747549019607844
lund_b.txt,147,1147,0.10688659025253937
bcsstk20.txt,485,1325,0.011289085797052057
jagmesh9.txt,1349,3876,0.004262966523174656
bcsstk06.txt,420,3720,0.04227753153767474
sstmodel.txt,3345,9702,0.0017347179608213359
bfw782b.txt,782,2600,0.00851423350612861
can__634.txt,634,3297,0.01643069654790916
jagmesh8.txt,1141,3162,0.004861847871211772
bfw62b.txt,62,140,0.074034902168165
bcsstk22.txt,138,279,0.02951443986036179
bcsstk02.txt,66,2145,1.0
young4c.txt,841,1624,0.004597701149425287
bcspwr02.txt,49,59,0.050170068027210885
dwt__361.txt,361,1296,0.019944598337950138
can___96.txt,96,336,0.07368421052631578
nos6.txt,675,1290,0.005670952851961754
jagmesh1.txt,936,2664,0.006088029617441382
bcsstk13.txt,2003,40940,0.020418922066450775
494_bus.txt,494,586,0.004812311634132922
bcspwr03.txt,118,179,0.025930754744314066
bcsstk12.txt,1473,16384,0.015112606629475486
dwt__193.txt,193,1650,0.08905440414507772
can__445.txt,445,1682,0.01702601477882377
can__292.txt,292,1124,0.02645577366661959
dwt__607.txt,607,2262,0.012298758706183634
lshp_406.txt,406,1155,0.0140485312899106
lshp1270.txt,1270,3699,0.004590383648852404
dwt__310.txt,310,1069,0.022319657584298987
bcspwr07.txt,1612,2106,0.0016219138583528565
dwt___66.txt,66,127,0.05920745920745921
young2c.txt,841,1624,0.004597701149425287
dwt__307.txt,307,1108,0.023589023014200253
jagmesh6.txt,1377,3808,0.004019523399368361
dwt__992.txt,992,7876,0.016023241430943004
dwt__758.txt,758,2618,0.009125035290673154
bcsstk05.txt,153,1135,0.097609219126247
can__229.txt,229,774,0.029648356699609284
gr_30_30.txt,900,3422,0.00845878136200717
lshp1561.txt,1561,4560,0.0037451337899768395
bfw398b.txt,398,1256,0.015898130450742377
dwt_1005.txt,1005,3808,0.007547917781609879
ash292.txt,292,958,0.0225486042461046
bcsstk08.txt,1074,5943,0.01031410913899837
jagmesh2.txt,1009,2928,0.005757704469300109
jagmesh3.txt,1089,3136,0.005293577486090855
nos7.txt,729,1944,0.007326007326007326
nos3.txt,960,7442,0.016167014250955857
plat1919.txt,1919,15240,0.008281163992586075
mhd3200b.txt,3200,7558,0.0014766333229134104
dwt___59.txt,59,104,0.06078316773816481
can_1054.txt,1054,5571,0.010039085940414213
will57.txt,57,127,0.07957393483709273
plsk1919.txt,1919,4831,0.0026250855149726597
bcsstk07.txt,420,3720,0.04227753153767474
bcsstm13.txt,2003,9970,0.004972561138312511
can__161.txt,161,608,0.04720496894409938
plat362.txt,362,2712,0.041505333557796786
eris1176.txt,1176,8688,0.01257490230134607
bcsstm27.txt,1224,27451,0.03667585867816737
bcsstk15.txt,3948,56934,0.007307308155245452
dwt_1242.txt,1242,4592,0.005958521321307294
dwt__162.txt,162,510,0.039107430411778235
1138_bus.txt,1138,1458,0.0022536413000635285
bcspwr06.txt,1454,1923,0.001820452112074719
jagmesh7.txt,1138,3156,0.004878252361454387
dwt___72.txt,72,75,0.029342723004694836
lund_a.txt,147,1151,0.10725934209300159
bcsstk04.txt,132,1758,0.20333102012491325
bcspwr09.txt,1723,2394,0.0016137480005096046
nos4.txt,100,247,0.0498989898989899
can___61.txt,61,248,0.1355191256830601
bcsstk27.txt,1224,27451,0.03667585867816737
lshp_265.txt,265,744,0.021269296740994856
dwt__918.txt,918,3233,0.007681104672573016
bcsstk24.txt,3562,78174,0.012326121415465218
zenios.txt,2873,12159,0.0029471876766397746
dwt__209.txt,209,767,0.035287081339712915
bcspwr05.txt,443,590,0.006026373042705535
bcsstk09.txt,1083,8677,0.014809618657013192
young1c.txt,841,1624,0.004597701149425287
add20.txt,2395,7462,0.002602888571463453
nos2.txt,957,1590,0.003475820096798311
jagmesh5.txt,1180,3285,0.004722473799974123
sherman1.txt,1000,1375,0.0027527527527527527
dwt___87.txt,87,227,0.060678962844159315
can__715.txt,715,2975,0.011655011655011656
blckhole.txt,2132,6370,0.0028041340948369597
bcsstk14.txt,1806,30824,0.018911415625968226
lshp2233.txt,2233,6552,0.0026291839417534636
young3c.txt,841,1671,0.0047307626974689996
lshp_577.txt,577,1656,0.00996533795493934
dwt__245.txt,245,608,0.0203412512546002
dwt__234.txt,234,300,0.011004732034774953
dwt__869.txt,869,3208,0.008505989722812916
bcsstk01.txt,48,176,0.15602836879432624
dwt__592.txt,592,2256,0.012896144875840307
bcsstk11.txt,1473,16384,0.015112606629475486
bcsstk26.txt,1922,14207,0.007695761995275397
bcsstm12.txt,1473,9093,0.008387385991322058
plskz362.txt,362,880,0.0134678073491376
can_1072.txt,1072,5686,0.009904957007678693
dwt__492.txt,492,1332,0.011027768118821718
lshp1882.txt,1882,5511,0.0031135223819378412
lshp1009.txt,1009,2928,0.005757704469300109
dwt_1007.txt,1007,3784,0.007470568841173416
bcsstk10.txt,1086,10492,0.017808556322190257
dwt__878.txt,878,3285,0.008532401046225614
can__144.txt,144,576,0.055944055944055944
dwt__419.txt,419,1572,0.017951148211165797
