arquivo,n_vertices,n_arestas,densidade
rd_300_0.8.txt,300,35742,0.796923076923077
cubic_250.txt,250,375,0.012048192771084338
cubic_100.txt,100,150,0.030303030303030304
rd_450_0.8.txt,450,80679,0.798604305864885
cubic_476.txt,476,714,0.00631578947368421
cubic_200.txt,200,300,0.01507537688442211
cubic_776.txt,776,1164,0.003870967741935484
cubic_876.txt,876,1314,0.0034285714285714284
rd_200_0.2.txt,200,4021,0.20206030150753768
cubic_300.txt,300,450,0.010033444816053512
rd_500_0.2.txt,500,25031,0.20064929859719438
rd_350_0.8.txt,350,48730,0.7978714695047073
rd_350_0.5.txt,350,30572,0.5005648792468277
rd_350_0.2.txt,350,12311,0.20157183790421612
cubic_400.txt,400,600,0.007518796992481203
rd_250_0.5.txt,250,15544,0.49940562248995984
cubic_350.txt,350,525,0.008595988538681949
rd_400_0.8.txt,400,63677,0.7979573934837093
cubic_850.txt,850,1275,0.0035335689045936395
rd_500_0.8.txt,500,99649,0.7987895791583166
cubic_550.txt,550,825,0.00546448087431694
rd_450_0.5.txt,450,50489,0.49976738431081413
rd_150_0.2.txt,150,2260,0.20223713646532437
cubic_576.txt,576,864,0.0052173913043478265
cubic_450.txt,450,675,0.0066815144766146995
cubic_276.txt,276,414,0.01090909090909091
rd_300_0.2.txt,300,9066,0.20214046822742474
cubic_650.txt,650,975,0.004622496147919877
cubic_600.txt,600,900,0.005008347245409015
cubic_700.txt,700,1050,0.004291845493562232
cubic_800.txt,800,1200,0.0037546933667083854
cubic_150.txt,150,225,0.020134228187919462
rd_300_0.5.txt,300,22366,0.4986845039018952
cubic_176.txt,176,264,0.017142857142857144
rd_250_0.8.txt,250,24806,0.7969799196787148
cubic_376.txt,376,564,0.008
rd_450_0.2.txt,450,20245,0.2003959415986142
rd_200_0.8.txt,200,15844,0.796180904522613
rd_200_0.5.txt,200,9907,0.4978391959798995
rd_500_0.5.txt,500,62388,0.5001042084168337
rd_400_0.5.txt,400,39927,0.5003383458646616
rd_250_0.2.txt,250,6284,0.20189558232931726
cubic_50.txt,50,75,0.061224489795918366
cubic_500.txt,500,750,0.006012024048096192
rd_150_0.5.txt,150,5576,0.49897091722595077
cubic_750.txt,750,1125,0.004005340453938585
cubic_676.txt,676,1014,0.0044444444444444444
rd_150_0.8.txt,150,8933,0.7993736017897092
rd_400_0.2.txt,400,16057,0.2012155388471178
cubic_76.txt,76,114,0.04
